Year	Site	sowDay	simulatedZadok10_dd/mm/yyyy	simulatedZadok30_dd/mm/yyyy	simulatedZadok65_dd/mm/yyyy	simulatedZadok90_dd/mm/yyyy
2012	Bungunya	22/05/2012
2012	Bungunya	23/06/2012
2010	Corrigin	15/05/2010
2010	Corrigin	26/05/2010
2010	Corrigin	22/06/2010
2011	Corrigin	30/04/2011
2011	Corrigin	24/05/2011
2011	Corrigin	21/06/2011
2012	Corrigin	02/05/2012
2012	Corrigin	21/05/2012
2012	Corrigin	21/06/2012
2010	Eradu	14/05/2010
2010	Eradu	27/05/2010
2010	Eradu	22/06/2010
2011	Eradu	29/04/2011
2011	Eradu	24/05/2011
2011	Eradu	23/06/2011
2012	Eradu	02/05/2012
2012	Eradu	21/05/2012
2012	Eradu	21/06/2012
2010	LakeBolac	03/05/2010
2010	LakeBolac	19/05/2010
2010	LakeBolac	08/07/2010
2011	LakeBolac	09/05/2011
2011	LakeBolac	03/06/2011
2011	LakeBolac	16/06/2011
2010	Minnipa	30/04/2010
2010	Minnipa	31/05/2010
2010	Minnipa	24/06/2010
2011	Minnipa	13/05/2011
2011	Minnipa	27/05/2011
2011	Minnipa	24/06/2011
2012	Minnipa	25/05/2012
2012	Minnipa	08/06/2012
2012	Minnipa	25/06/2012
2012	Nangwee	17/05/2012
2012	Nangwee	31/05/2012
2012	Nangwee	23/06/2012
2010	SpringRidge	10/05/2010
2010	SpringRidge	11/06/2010
2010	SpringRidge	01/07/2010
2011	SpringRidge	09/05/2011
2011	SpringRidge	06/06/2011
2011	SpringRidge	23/06/2011
2011	Temora	05/05/2011
2011	Temora	26/05/2011
2011	Temora	20/06/2011
2012	Temora	05/05/2012
2012	Temora	23/05/2012
2012	Temora	25/06/2012
2011	Turretfield	18/05/2011
2011	Turretfield	08/06/2011
2011	Turretfield	28/06/2011
2012	Turretfield	30/05/2012
2012	Turretfield	15/06/2012
2012	Turretfield	05/07/2012
2010	Walpeup	30/04/2010
2010	Walpeup	24/05/2010
2010	Walpeup	28/06/2010
2011	Walpeup	29/04/2011
2011	Walpeup	31/05/2011
2011	Walpeup	01/07/2011
2012	Walpeup	27/04/2012
2012	Walpeup	04/06/2012
2012	Walpeup	18/07/2012
Year	Site	sowDay	simulatedZadok10_dd/mm/yyyy	simulatedZadok30_dd/mm/yyyy	simulatedZadok65_dd/mm/yyyy	simulatedZadok90_dd/mm/yyyy
2012	Bungunya	10/05/2012
2012	Bungunya	22/05/2012
2012	Bungunya	23/06/2012
2010	Corrigin	15/05/2010
2010	Corrigin	26/05/2010
2010	Corrigin	22/06/2010
2011	Corrigin	30/04/2011
2011	Corrigin	24/05/2011
2011	Corrigin	21/06/2011
2012	Corrigin	02/05/2012
2012	Corrigin	21/05/2012
2012	Corrigin	21/06/2012
2010	Eradu	14/05/2010
2010	Eradu	27/05/2010
2010	Eradu	22/06/2010
2011	Eradu	29/04/2011
2011	Eradu	24/05/2011
2011	Eradu	23/06/2011
2012	Eradu	02/05/2012
2012	Eradu	21/05/2012
2012	Eradu	21/06/2012
2010	LakeBolac	03/05/2010
