Year	Site	sowDay	simulatedZadok10_dd/mm/yyyy	simulatedZadok30_dd/mm/yyyy	simulatedZadok65_dd/mm/yyyy	simulatedZadok90_dd/mm/yyyy
2011	Minnipa	24/06/2011	03/07/2011	24/08/2011	03/10/2011	02/11/2011
2012	Minnipa	25/05/2012	02/06/2012	05/08/2012	20/09/2012	12/10/2012
2012	Minnipa	08/06/2012	17/06/2012	18/08/2012	26/09/2012	17/10/2012
2012	Minnipa	25/06/2012	04/07/2012	29/08/2012	04/10/2012	23/10/2012
2012	Nangwee	17/05/2012	24/05/2012	19/07/2012	13/09/2012	18/10/2012
2012	Nangwee	31/05/2012	24/06/2012	22/08/2012	28/09/2012	27/10/2012
2012	Nangwee	23/06/2012	09/07/2012	30/08/2012	04/10/2012	02/11/2012
2010	SpringRidge	10/05/2010	14/06/2010	20/08/2010	04/10/2010	10/11/2010
2010	SpringRidge	11/06/2010	20/06/2010	24/08/2010	06/10/2010	12/11/2010
2010	SpringRidge	01/07/2010	11/07/2010	06/09/2010	13/10/2010	15/11/2010
2011	SpringRidge	09/05/2011	06/06/2011	15/08/2011	28/09/2011	05/11/2011
2011	SpringRidge	06/06/2011	14/06/2011	19/08/2011	01/10/2011	06/11/2011
2011	SpringRidge	23/06/2011	02/07/2011	31/08/2011	10/10/2011	09/11/2011
2011	Temora	05/05/2011	02/06/2011	21/08/2011	12/10/2011	12/11/2011
2011	Temora	26/05/2011	04/06/2011	23/08/2011	12/10/2011	12/11/2011
2011	Temora	20/06/2011	02/07/2011	08/09/2011	20/10/2011	18/11/2011
2012	Temora	05/05/2012	13/05/2012	11/08/2012	08/10/2012	02/11/2012
2012	Temora	23/05/2012	04/06/2012	30/08/2012	17/10/2012	05/11/2012
2012	Temora	25/06/2012	06/07/2012	18/09/2012	24/10/2012	11/11/2012
2011	Turretfield	18/05/2011	29/05/2011	04/08/2011	26/09/2011	07/11/2011
2011	Turretfield	08/06/2011	17/06/2011	18/08/2011	05/10/2011	10/11/2011
2011	Turretfield	28/06/2011	08/07/2011	03/09/2011	15/10/2011	15/11/2011
2012	Turretfield	30/05/2012	07/06/2012	14/08/2012	03/10/2012	12/11/2012
2012	Turretfield	15/06/2012	25/06/2012	29/08/2012	11/10/2012	16/11/2012
2012	Turretfield	05/07/2012	15/07/2012	11/09/2012	19/10/2012	22/11/2012
2010	Walpeup	30/04/2010	03/06/2010	15/08/2010	06/10/2010	08/11/2010
2010	Walpeup	24/05/2010	03/06/2010	15/08/2010	06/10/2010	08/11/2010
2010	Walpeup	28/06/2010	09/07/2010	10/09/2010	19/10/2010	12/11/2010
2011	Walpeup	29/04/2011	01/06/2011	06/08/2011	24/09/2011	21/10/2011
2011	Walpeup	31/05/2011	11/06/2011	14/08/2011	28/09/2011	23/10/2011
2011	Walpeup	01/07/2011	15/07/2011	06/09/2011	14/10/2011	04/11/2011
2012	Walpeup	27/04/2012	04/05/2012	08/07/2012	11/09/2012	14/10/2012
2012	Walpeup	04/06/2012	25/06/2012	28/08/2012	06/10/2012	30/10/2012
2012	Walpeup	18/07/2012	30/07/2012	17/09/2012	20/10/2012	05/11/2012
