Year	Site	sowDay	simulatedZadok10_dd/mm/yyyy	simulatedZadok30_dd/mm/yyyy	simulatedZadok65_dd/mm/yyyy	simulatedZadok90_dd/mm/yyyy
2012	Bungunya	10/05/2012	10/06/2012	09/08/2012	23/09/2012	16/10/2012
2012	Bungunya	22/05/2012	11/06/2012	11/08/2012	23/09/2012	17/10/2012
2012	Bungunya	23/06/2012	30/07/2012	16/09/2012	15/10/2012	31/10/2012
2010	Corrigin	15/05/2010	26/05/2010	04/08/2010	29/09/2010	21/10/2010
2010	Corrigin	26/05/2010	03/06/2010	14/08/2010	02/10/2010	23/10/2010
2010	Corrigin	22/06/2010	01/07/2010	06/09/2010	14/10/2010	01/11/2010
2011	Corrigin	30/04/2011	19/05/2011	18/07/2011	15/09/2011	24/10/2011
2011	Corrigin	24/05/2011	31/05/2011	31/07/2011	24/09/2011	27/10/2011
2011	Corrigin	21/06/2011	05/07/2011	31/08/2011	12/10/2011	10/11/2011
2012	Corrigin	02/05/2012	13/05/2012	16/07/2012	14/09/2012	10/10/2012
2012	Corrigin	21/05/2012	16/06/2012	23/08/2012	04/10/2012	21/10/2012
2012	Corrigin	21/06/2012	30/06/2012	02/09/2012	09/10/2012	27/10/2012
2010	Eradu	14/05/2010	26/05/2010	13/07/2010	06/09/2010	29/09/2010
2010	Eradu	27/05/2010	03/06/2010	23/07/2010	14/09/2010	01/10/2010
2010	Eradu	22/06/2010	11/07/2010	29/08/2010	02/10/2010	18/10/2010
2011	Eradu	29/04/2011	23/05/2011	06/07/2011	25/08/2011	01/10/2011
2011	Eradu	24/05/2011	07/06/2011	24/07/2011	08/09/2011	08/10/2011
2011	Eradu	23/06/2011	03/07/2011	17/08/2011	26/09/2011	18/10/2011
2012	Eradu	02/05/2012	08/06/2012	25/07/2012	08/09/2012	27/09/2012
2012	Eradu	21/05/2012	17/06/2012	03/08/2012	14/09/2012	03/10/2012
2012	Eradu	21/06/2012	28/06/2012	14/08/2012	19/09/2012	09/10/2012
2010	LakeBolac	03/05/2010	11/05/2010	09/08/2010	11/10/2010	06/12/2010
2010	LakeBolac	19/05/2010	28/05/2010	25/08/2010	19/10/2010	08/12/2010
2010	LakeBolac	08/07/2010	21/07/2010	27/09/2010	07/11/2010	20/12/2010
2011	LakeBolac	09/05/2011	22/05/2011	14/08/2011	10/10/2011	26/11/2011
2011	LakeBolac	03/06/2011	15/06/2011	29/08/2011	19/10/2011	03/12/2011
2011	LakeBolac	16/06/2011	30/06/2011	08/09/2011	23/10/2011	08/12/2011
2010	Minnipa	30/04/2010	30/05/2010	01/08/2010	26/09/2010	28/10/2010
2010	Minnipa	31/05/2010	08/06/2010	11/08/2010	02/10/2010	01/11/2010
2010	Minnipa	24/06/2010	04/07/2010	01/09/2010	13/10/2010	12/11/2010
2011	Minnipa	13/05/2011	25/05/2011	23/07/2011	13/09/2011	21/10/2011
2011	Minnipa	27/05/2011	04/06/2011	01/08/2011	18/09/2011	24/10/2011
