iso-date,tmin,tmax,tavg,globrad,precip,wind,relhumid
2010-1-1,-0.41,3.41,1.5,4.369,0.0,0.0,80.0
2010-1-2,-3.51,3.15,-0.18,3.93,0.0,0.0,80.0
2010-1-3,-5.12,3.99,-0.56,4.985,0.0,0.0,80.0
2010-1-4,-7.08,-0.37,-3.73,7.431,0.0,0.0,80.0
2010-1-5,-8.75,2.65,-3.05,5.887,0.0,0.0,80.0
2010-1-6,-4.86,-1.92,-3.39,2.058,1.2,0.0,80.0
2010-1-7,-14.49,-0.06,-7.28,5.244,0.0,0.0,80.0
2010-1-8,-12.24,-1.22,-6.73,5.689,0.0,0.0,80.0
2010-1-9,-6.73,-0.95,-3.84,2.787,0.0,0.0,80.0
2010-1-10,-1.54,0.25,-0.65,1.98,0.0,0.0,80.0
2010-1-11,-2.63,1.16,-0.73,2.445,0.0,0.0,80.0
2010-1-12,-8.82,-0.19,-4.5,3.649,0.0,0.0,80.0
2010-1-13,-1.88,6.58,2.35,4.921,3.5,0.0,80.0
2010-1-14,0.91,5.7,3.31,4.375,0.0,0.0,80.0
2010-1-15,0.83,4.08,2.46,2.774,0.0,0.0,80.0
2010-1-16,0.81,9.62,5.21,0.781,5.5,0.0,80.0
2010-1-17,4.12,10.56,7.34,4.327,0.0,0.0,80.0
2010-1-18,-1.14,8.52,3.69,2.834,0.0,0.0,80.0
2010-1-19,1.39,3.15,2.27,2.176,2.0,0.0,80.0
2010-1-20,-0.23,8.93,4.35,2.74,8.0,0.0,80.0
2010-1-21,3.95,8.7,6.32,5.078,0.0,0.0,80.0
2010-1-22,4.24,7.64,5.94,2.241,3.4,0.0,80.0
2010-1-23,4.51,6.05,5.28,1.493,6.6,0.0,80.0
2010-1-24,4.61,6.33,5.47,1.792,0.0,0.0,80.0
2010-1-25,-0.07,6.53,3.23,3.208,0.4,0.0,80.0
2010-1-26,-2.1,1.47,-0.32,2.065,0.0,0.0,80.0
2010-1-27,-5.6,5.77,0.08,7.1,0.8,0.0,80.0
2010-1-28,1.27,6.61,3.94,3.115,1.0,0.0,80.0
2010-1-29,3.28,7.23,5.25,1.406,7.8,0.0,80.0
