*WEATHER;DATA;:;;;;;;;;;;;Latitude = 49.816667 § Longitude = 3.203333 § Altitude = 73
;;;;Rg Mega joules;Tmax;Tmin;Pluie;ETP;;;;;
@;INSI;LAT;LONG;ELEV;TAV;AMP;REFHT;;WNDHT;;;;
;ARBA;;;MJ/m²;°C;°C;mm;mm;;;;;
@DATE;YYYY;MM;DD;SRAD;TMAX;TMIN;RAIN;ET0;WIND;DEWP;VPRS;RHUM;
2001001;2011;1;1;1.11;2.2;-2.2;0.6;0.1;;;;;01.01.2011
2001002;2011;1;2;3.78;3.9;0.7;0.0;0.4;;;;;02.01.2011
2001003;2011;1;3;2.55;2.2;-0.4;0.0;0.3;;;;;03.01.2011
2001004;2011;1;4;3.21;0.1;-2.9;0.0;0.1;;;;;04.01.2011
2001005;2011;1;5;4.26;5.8;-2.4;9.7;0.6;;;;;05.01.2011
2001006;2011;1;6;0.55;11.5;2.1;29.3;0.0;;;;;06.01.2011
2001007;2011;1;7;0.87;11.3;6.7;3.8;0.1;;;;;07.01.2011
2001008;2011;1;8;1.80;12.4;8.7;6.7;1.4;;;;;08.01.2011
2001009;2011;1;9;3.98;7.5;2.9;0.0;0.6;;;;;09.01.2011
2001010;2011;1;10;3.01;3.6;-1.2;1.2;0.2;;;;;10.01.2011
2001011;2011;1;11;1.75;8.6;0.4;4.0;0.2;;;;;11.01.2011
2001012;2011;1;12;0.52;12.2;4.0;6.4;0.5;;;;;12.01.2011
2001013;2011;1;13;0.99;13.6;10.1;0.0;0.5;;;;;13.01.2011
2001014;2011;1;14;2.53;13.3;9.7;2.8;1.8;;;;;14.01.2011
2001015;2011;1;15;3.99;11.1;7.1;0.0;1.1;;;;;15.01.2011
2001016;2011;1;16;4.47;11.9;5.1;0.0;0.9;;;;;16.01.2011
2001017;2011;1;17;1.33;8.4;4.2;0.4;0.1;;;;;17.01.2011
2001018;2011;1;18;1.87;8.9;5.3;0.6;0.8;;;;;18.01.2011
2001019;2011;1;19;2.59;4.7;0.1;0.0;0.3;;;;;19.01.2011
2001020;2011;1;20;5.29;5.1;-0.1;0.4;0.6;;;;;20.01.2011
2001021;2011;1;21;2.64;1.9;-1.3;0.0;0.4;;;;;21.01.2011
2001022;2011;1;22;1.50;5.7;-0.3;0.2;0.1;;;;;22.01.2011
2001023;2011;1;23;1.59;6.2;2.3;1.0;0.4;;;;;23.01.2011
2001024;2011;1;24;1.84;7.0;4.1;1.0;0.7;;;;;24.01.2011
2001025;2011;1;25;1.21;6.3;0.0;2.8;0.0;;;;;25.01.2011
