*WEATHER;DATA;:;;;;;;;;;;;Latitude = 49.148611 § Longitude = 0.903611 § Altitude = 153
;;;;Rg joules;Tmax;Tmin;Pluie;ETP;;;;;
@;INSI;LAT;LONG;ELEV;TAV;AMP;REFHT;;WNDHT;;;;
;ARBA;;;MJ/m²;°C;°C;mm;mm;;;;;
@DATE;YYYY;MM;DD;SRAD;TMAX;TMIN;RAIN;ET0;WIND;DEWP;VPRS;RHUM;
2001001;2010;1;1;4.37;3.4;-0.4;0.0;0.3;;;;;01.01.2010
2001002;2010;1;2;3.93;3.2;-3.5;0.0;0.1;;;;;02.01.2010
2001003;2010;1;3;4.98;4.0;-5.1;0.0;0.2;;;;;03.01.2010
2001004;2010;1;4;7.43;-0.4;-7.1;0.0;0.1;;;;;04.01.2010
2001005;2010;1;5;5.89;2.6;-8.8;0.0;0.1;;;;;05.01.2010
2001006;2010;1;6;2.06;-1.9;-4.9;1.2;0.1;;;;;06.01.2010
2001007;2010;1;7;5.24;-0.1;-14.5;0.0;0.0;;;;;07.01.2010
2001008;2010;1;8;5.69;-1.2;-12.2;0.0;0.1;;;;;08.01.2010
2001009;2010;1;9;2.79;-0.9;-6.7;0.0;0.2;;;;;09.01.2010
2001010;2010;1;10;1.98;0.2;-1.5;0.0;0.1;;;;;10.01.2010
2001011;2010;1;11;2.44;1.2;-2.6;0.0;0.1;;;;;11.01.2010
2001012;2010;1;12;3.65;-0.2;-8.8;0.0;0.1;;;;;12.01.2010
2001013;2010;1;13;4.92;6.6;-1.9;3.5;0.0;;;;;13.01.2010
2001014;2010;1;14;4.38;5.7;0.9;0.0;0.1;;;;;14.01.2010
2001015;2010;1;15;2.77;4.1;0.8;0.0;0.1;;;;;15.01.2010
2001016;2010;1;16;0.78;9.6;0.8;5.5;0.2;;;;;16.01.2010
2001017;2010;1;17;4.33;10.6;4.1;0.0;0.3;;;;;17.01.2010
2001018;2010;1;18;2.83;8.5;-1.1;0.0;0.0;;;;;18.01.2010
2001019;2010;1;19;2.18;3.2;1.4;2.0;0.1;;;;;19.01.2010
2001020;2010;1;20;2.74;8.9;-0.2;8.0;0.2;;;;;20.01.2010
2001021;2010;1;21;5.08;8.7;4.0;0.0;0.2;;;;;21.01.2010
2001022;2010;1;22;2.24;7.6;4.2;3.4;0.3;;;;;22.01.2010
2001023;2010;1;23;1.49;6.1;4.5;6.6;0.1;;;;;23.01.2010
2001024;2010;1;24;1.79;6.3;4.6;0.0;0.3;;;;;24.01.2010
2001025;2010;1;25;3.21;6.5;-0.1;0.4;0.2;;;;;25.01.2010
2001026;2010;1;26;2.06;1.5;-2.1;0.0;0.3;;;;;26.01.2010
2001027;2010;1;27;7.10;5.8;-5.6;0.8;0.3;;;;;27.01.2010
2001028;2010;1;28;3.12;6.6;1.3;1.0;0.1;;;;;28.01.2010
2001029;2010;1;29;1.41;7.2;3.3;7.8;0.4;;;;;29.01.2010
2001030;2010;1;30;7.64;3.7;-2.0;0.2;0.2;;;;;30.01.2010
2001031;2010;1;31;7.68;4.5;-3.8;0.0;0.2;;;;;31.01.2010
2001032;2010;2;1;6.98;5.5;-3.5;0.6;0.2;;;;;01.02.2010
2001033;2010;2;2;1.67;8.0;1.2;3.5;0.3;;;;;02.02.2010
2001034;2010;2;3;3.51;10.7;7.6;1.0;0.5;;;;;03.02.2010
2001035;2010;2;4;7.15;9.5;5.0;4.0;0.7;;;;;04.02.2010
2001036;2010;2;5;7.46;12.2;5.4;1.0;0.6;;;;;05.02.2010
2001037;2010;2;6;3.76;9.2;5.1;0.0;0.3;;;;;06.02.2010
2001038;2010;2;7;3.15;6.9;3.3;0.0;0.4;;;;;07.02.2010
2001039;2010;2;8;1.23;3.0;1.3;1.0;0.1;;;;;08.02.2010
2001040;2010;2;9;1.91;-0.6;-2.4;0.0;0.4;;;;;09.02.2010
2001041;2010;2;10;6.50;4.1;-3.1;0.5;0.5;;;;;10.02.2010
2001042;2010;2;11;3.59;0.4;-3.8;0.0;0.8;;;;;11.02.2010
2001043;2010;2;12;10.52;2.9;-4.4;0.0;0.7;;;;;12.02.2010
2001044;2010;2;13;5.02;1.5;-2.6;0.0;0.7;;;;;13.02.2010
2001045;2010;2;14;6.99;1.5;-7.3;0.0;0.3;;;;;14.02.2010
2001046;2010;2;15;3.44;3.4;-3.5;0.0;0.3;;;;;15.02.2010
2001047;2010;2;16;10.92;5.2;-2.3;0.0;0.7;;;;;16.02.2010
2001048;2010;2;17;3.30;3.5;-5.8;0.5;0.2;;;;;17.02.2010
2001049;2010;2;18;5.67;9.9;-0.6;1.0;0.5;;;;;18.02.2010
2001050;2010;2;19;9.65;7.9;1.9;0.0;0.6;;;;;19.02.2010
2001051;2010;2;20;10.23;6.9;-2.0;3.5;0.4;;;;;20.02.2010
2001052;2010;2;21;7.28;8.9;-0.2;0.0;0.3;;;;;21.02.2010
2001053;2010;2;22;3.31;12.6;3.2;1.0;0.8;;;;;22.02.2010
2001054;2010;2;23;5.23;14.6;8.3;6.0;0.7;;;;;23.02.2010
2001055;2010;2;24;6.83;12.6;6.1;5.0;1.0;;;;;24.02.2010
2001056;2010;2;25;3.42;12.7;7.1;9.0;0.9;;;;;25.02.2010
2001057;2010;2;26;9.21;10.7;5.3;1.5;1.4;;;;;26.02.2010
2001058;2010;2;27;7.52;12.4;4.6;12.5;1.2;;;;;27.02.2010
2001059;2010;2;28;4.54;9.9;5.0;6.5;0.7;;;;;28.02.2010
2001060;2010;3;1;9.64;10.7;-1.6;0.5;0.8;;;;;01.03.2010
2001061;2010;3;2;13.76;11.2;2.1;0.0;1.3;;;;;02.03.2010
2001062;2010;3;3;10.92;8.6;0.9;0.0;1.8;;;;;03.03.2010
2001063;2010;3;4;13.64;7.6;1.1;0.0;1.7;;;;;04.03.2010
2001064;2010;3;5;15.38;7.4;-2.5;0.0;0.9;;;;;05.03.2010
2001065;2010;3;6;9.88;7.9;-0.5;0.0;1.2;;;;;06.03.2010
2001066;2010;3;7;15.22;4.1;-3.1;0.0;1.8;;;;;07.03.2010
2001067;2010;3;8;15.56;6.3;-2.7;0.0;1.9;;;;;08.03.2010
2001068;2010;3;9;15.10;5.4;-2.6;0.0;1.5;;;;;09.03.2010
2001069;2010;3;10;15.03;8.6;-2.2;0.0;2.0;;;;;10.03.2010
2001070;2010;3;11;15.42;8.4;-1.0;0.0;1.5;;;;;11.03.2010
2001071;2010;3;12;5.98;6.7;2.0;0.5;0.9;;;;;12.03.2010
2001072;2010;3;13;4.37;6.7;1.7;0.0;0.7;;;;;13.03.2010
2001073;2010;3;14;7.49;10.6;2.9;0.0;1.2;;;;;14.03.2010
2001074;2010;3;15;11.42;11.9;0.9;0.0;1.2;;;;;15.03.2010
2001075;2010;3;16;16.08;14.6;-3.7;0.0;1.4;;;;;16.03.2010
2001076;2010;3;17;14.11;17.6;1.2;0.0;2.0;;;;;17.03.2010
2001077;2010;3;18;12.34;18.7;2.1;0.0;2.7;;;;;18.03.2010
2001078;2010;3;19;7.70;17.5;11.4;11.5;2.0;;;;;19.03.2010
2001079;2010;3;20;9.62;18.2;12.2;0.0;1.9;;;;;20.03.2010
2001080;2010;3;21;8.70;13.4;7.6;0.0;1.5;;;;;21.03.2010
2001081;2010;3;22;13.83;15.0;-1.3;0.0;1.6;;;;;22.03.2010
2001082;2010;3;23;9.84;14.5;4.5;0.0;1.4;;;;;23.03.2010
2001083;2010;3;24;11.16;19.1;5.5;1.0;2.0;;;;;24.03.2010
2001084;2010;3;25;6.67;16.2;10.8;5.5;1.6;;;;;25.03.2010
2001085;2010;3;26;9.98;13.3;5.6;0.5;1.7;;;;;26.03.2010
2001086;2010;3;27;7.49;13.3;5.9;0.5;1.4;;;;;27.03.2010
2001087;2010;3;28;6.21;12.5;8.0;0.5;1.0;;;;;28.03.2010
2001088;2010;3;29;10.85;16.5;10.0;12.0;1.8;;;;;29.03.2010
2001089;2010;3;30;10.01;12.5;4.2;7.5;1.5;;;;;30.03.2010
2001090;2010;3;31;15.10;8.8;3.6;1.5;2.2;;;;;31.03.2010
2001091;2010;4;1;19.19;11.6;1.9;0.0;2.3;;;;;01.04.2010
2001092;2010;4;2;9.72;13.0;3.6;5.5;1.6;;;;;02.04.2010
2001093;2010;4;3;13.53;12.7;4.4;7.0;1.8;;;;;03.04.2010
