*WEATHER;DATA;:;;;;;;;;;;;Latitude = 49.148611 § Longitude = 0.903611 § Altitude = 153
2001094;2010;4;4;13.49;10.1;5.2;2.5;2.0;;;;;04.04.2010
2001095;2010;4;5;14.37;12.9;0.3;0.0;1.7;;;;;05.04.2010
2001096;2010;4;6;20.96;17.6;1.8;0.0;2.8;;;;;06.04.2010
2001097;2010;4;7;10.02;15.6;2.8;0.5;1.7;;;;;07.04.2010
2001098;2010;4;8;21.68;14.2;5.7;0.0;2.7;;;;;08.04.2010
2001099;2010;4;9;22.02;17.0;-0.7;0.0;2.6;;;;;09.04.2010
2001100;2010;4;10;21.48;16.4;6.4;0.0;2.9;;;;;10.04.2010
2001101;2010;4;11;17.18;13.8;3.3;0.0;2.6;;;;;11.04.2010
2001102;2010;4;12;15.74;13.7;3.0;1.0;2.3;;;;;12.04.2010
2001103;2010;4;13;13.03;15.6;5.7;0.0;2.4;;;;;13.04.2010
2001104;2010;4;14;16.39;13.7;3.5;0.0;2.1;;;;;14.04.2010
2001105;2010;4;15;17.19;16.3;3.6;0.0;2.6;;;;;15.04.2010
2001106;2010;4;16;22.94;14.0;3.9;0.0;2.9;;;;;16.04.2010
2001107;2010;4;17;23.53;17.2;1.8;0.0;2.8;;;;;17.04.2010
2001108;2010;4;18;23.87;20.0;0.0;0.0;3.1;;;;;18.04.2010
2001109;2010;4;19;22.76;20.1;-0.9;0.0;2.9;;;;;19.04.2010
2001110;2010;4;20;16.58;14.6;4.1;0.0;2.2;;;;;20.04.2010
2001111;2010;4;21;17.97;14.9;-2.1;0.0;2.2;;;;;21.04.2010
2001112;2010;4;22;23.88;15.3;2.8;0.0;3.4;;;;;22.04.2010
2001113;2010;4;23;25.53;18.5;2.2;0.0;3.4;;;;;23.04.2010
2001114;2010;4;24;25.07;22.4;-0.9;0.0;3.5;;;;;24.04.2010
2001115;2010;4;25;18.73;20.0;3.4;0.0;3.2;;;;;25.04.2010
2001116;2010;4;26;14.84;16.7;3.7;0.0;2.1;;;;;26.04.2010
2001117;2010;4;27;23.64;20.6;1.5;0.0;2.9;;;;;27.04.2010
2001118;2010;4;28;23.25;24.6;2.8;0.0;3.8;;;;;28.04.2010
2001119;2010;4;29;19.28;27.0;6.5;0.5;3.8;;;;;29.04.2010
2001120;2010;4;30;18.11;18.1;9.3;0.0;3.0;;;;;30.04.2010
2001121;2010;5;1;13.42;16.1;5.3;6.5;2.0;;;;;01.05.2010
2001122;2010;5;2;15.97;13.9;7.4;1.5;2.3;;;;;02.05.2010
2001123;2010;5;3;13.71;10.8;5.0;1.0;2.5;;;;;03.05.2010
2001124;2010;5;4;21.18;12.5;3.1;0.0;3.2;;;;;04.05.2010
2001125;2010;5;5;16.83;11.0;3.5;0.0;2.5;;;;;05.05.2010
2001126;2010;5;6;20.89;14.1;3.3;0.0;2.8;;;;;06.05.2010
2001127;2010;5;7;12.17;12.3;4.0;0.0;2.0;;;;;07.05.2010
2001128;2010;5;8;22.42;16.2;3.7;0.0;3.0;;;;;08.05.2010
2001129;2010;5;9;16.20;15.5;7.0;0.0;2.5;;;;;09.05.2010
2001130;2010;5;10;11.41;14.0;5.7;2.5;2.1;;;;;10.05.2010
2001131;2010;5;11;6.77;9.3;5.7;3.0;1.3;;;;;11.05.2010
2001132;2010;5;12;8.66;10.1;3.5;0.0;1.3;;;;;12.05.2010
2001133;2010;5;13;10.91;10.4;-1.1;0.0;1.6;;;;;13.05.2010
2001134;2010;5;14;23.79;15.9;-1.8;0.0;2.7;;;;;14.05.2010
2001135;2010;5;15;22.96;15.7;-1.2;0.0;3.1;;;;;15.05.2010
2001136;2010;5;16;22.05;15.9;4.1;0.0;3.1;;;;;16.05.2010
2001137;2010;5;17;19.55;17.6;8.7;0.0;3.2;;;;;17.05.2010
2001138;2010;5;18;24.91;18.8;0.5;0.0;3.3;;;;;18.05.2010
2001139;2010;5;19;27.32;20.0;4.7;0.0;3.8;;;;;19.05.2010
2001140;2010;5;20;22.18;21.0;4.8;0.0;3.2;;;;;20.05.2010
2001141;2010;5;21;26.86;23.4;7.0;0.0;4.1;;;;;21.05.2010
2001142;2010;5;22;28.83;23.9;8.9;0.0;4.9;;;;;22.05.2010
2001143;2010;5;23;29.41;26.5;6.9;0.0;4.8;;;;;23.05.2010
2001144;2010;5;24;29.37;29.3;6.7;0.0;5.1;;;;;24.05.2010
2001145;2010;5;25;20.41;29.1;8.4;7.0;3.9;;;;;25.05.2010
2001146;2010;5;26;16.53;20.1;13.7;0.0;2.9;;;;;26.05.2010
2001147;2010;5;27;15.94;19.9;11.7;0.0;2.7;;;;;27.05.2010
2001148;2010;5;28;27.48;18.7;7.4;0.0;4.0;;;;;28.05.2010
2001149;2010;5;29;10.07;16.2;4.6;0.0;1.8;;;;;29.05.2010
2001150;2010;5;30;8.18;18.4;13.0;0.5;2.2;;;;;30.05.2010
2001151;2010;5;31;20.66;17.5;10.8;0.0;3.4;;;;;31.05.2010
2001152;2010;6;1;9.53;16.6;6.2;5.5;1.5;;;;;01.06.2010
2001153;2010;6;2;18.41;20.7;11.4;0.0;3.2;;;;;02.06.2010
2001154;2010;6;3;29.49;24.2;7.2;0.5;4.6;;;;;03.06.2010
2001155;2010;6;4;29.62;28.1;9.2;0.0;5.1;;;;;04.06.2010
2001156;2010;6;5;25.88;29.2;9.8;14.0;4.9;;;;;05.06.2010
2001157;2010;6;6;19.72;21.8;13.9;5.5;3.6;;;;;06.06.2010
2001158;2010;6;7;24.29;22.5;10.4;0.0;3.9;;;;;07.06.2010
2001159;2010;6;8;18.44;21.7;13.2;0.5;3.5;;;;;08.06.2010
2001160;2010;6;9;16.74;20.9;14.1;0.0;2.9;;;;;09.06.2010
2001161;2010;6;10;7.63;21.8;15.1;17.0;1.8;;;;;10.06.2010
2001162;2010;6;11;24.08;24.1;11.1;0.0;4.1;;;;;11.06.2010
2001163;2010;6;12;22.19;20.3;13.6;0.0;3.8;;;;;12.06.2010
2001164;2010;6;13;23.23;20.1;6.4;2.5;3.4;;;;;13.06.2010
2001165;2010;6;14;13.90;19.4;10.3;11.0;2.4;;;;;14.06.2010
2001166;2010;6;15;22.20;19.8;11.8;0.0;4.1;;;;;15.06.2010
2001167;2010;6;16;30.80;21.2;8.7;0.0;4.9;;;;;16.06.2010
2001168;2010;6;17;20.17;22.7;11.6;0.0;3.8;;;;;17.06.2010
2001169;2010;6;18;16.58;19.2;12.5;4.5;3.0;;;;;18.06.2010
2001170;2010;6;19;19.43;15.8;10.5;0.0;3.1;;;;;19.06.2010
2001171;2010;6;20;19.12;15.8;7.1;0.0;3.0;;;;;20.06.2010
2001172;2010;6;21;16.92;19.7;8.3;0.0;2.7;;;;;21.06.2010
2001173;2010;6;22;24.04;22.6;5.9;0.0;3.8;;;;;22.06.2010
2001174;2010;6;23;28.11;25.8;7.5;0.0;4.6;;;;;23.06.2010
2001175;2010;6;24;30.16;25.4;10.6;0.0;4.8;;;;;24.06.2010
2001176;2010;6;25;27.97;26.3;7.1;0.0;4.4;;;;;25.06.2010
2001177;2010;6;26;29.35;28.8;11.0;0.0;5.2;;;;;26.06.2010
2001178;2010;6;27;22.38;30.7;11.2;0.0;4.5;;;;;27.06.2010
2001179;2010;6;28;19.37;28.7;14.1;0.0;4.1;;;;;28.06.2010
2001180;2010;6;29;29.69;27.4;10.9;0.0;5.6;;;;;29.06.2010
2001181;2010;6;30;29.01;30.3;9.0;0.0;5.4;;;;;30.06.2010
2001182;2010;7;1;27.33;32.2;11.8;0.0;5.6;;;;;01.07.2010
2001183;2010;7;2;18.96;31.8;14.2;0.0;4.5;;;;;02.07.2010
2001184;2010;7;3;11.68;22.3;15.1;0.0;2.8;;;;;03.07.2010
2001185;2010;7;4;30.05;27.0;6.0;0.0;5.0;;;;;04.07.2010
2001186;2010;7;5;19.63;23.1;10.0;0.0;3.7;;;;;05.07.2010
2001187;2010;7;6;26.03;25.3;10.5;0.0;4.6;;;;;06.07.2010
2001188;2010;7;7;29.50;30.6;7.7;0.0;5.5;;;;;07.07.2010
2001189;2010;7;8;29.45;34.0;9.5;2.5;6.0;;;;;08.07.2010
2001190;2010;7;9;20.07;32.7;16.8;0.0;4.8;;;;;09.07.2010
2001191;2010;7;10;24.33;31.0;15.3;0.0;5.0;;;;;10.07.2010
2001192;2010;7;11;27.85;30.3;17.2;0.0;5.8;;;;;11.07.2010
2001193;2010;7;12;20.12;26.4;17.3;0.0;4.6;;;;;12.07.2010
2001194;2010;7;13;21.54;27.3;16.0;0.0;5.4;;;;;13.07.2010
2001195;2010;7;14;12.08;23.8;14.7;5.0;3.4;;;;;14.07.2010
2001196;2010;7;15;22.40;25.0;14.0;0.0;5.6;;;;;15.07.2010
2001197;2010;7;16;16.01;23.0;15.7;0.0;4.3;;;;;16.07.2010
2001198;2010;7;17;23.98;21.6;13.1;0.0;4.5;;;;;17.07.2010
2001199;2010;7;18;29.10;27.0;4.2;0.0;4.9;;;;;18.07.2010
2001200;2010;7;19;27.55;31.3;8.7;0.0;5.6;;;;;19.07.2010
2001201;2010;7;20;21.85;32.1;11.3;0.0;5.2;;;;;20.07.2010
2001202;2010;7;21;17.44;24.9;13.9;0.0;3.7;;;;;21.07.2010
2001203;2010;7;22;20.14;25.1;9.8;2.0;4.2;;;;;22.07.2010
2001204;2010;7;23;23.11;22.1;11.4;1.0;3.9;;;;;23.07.2010
2001205;2010;7;24;18.09;25.0;9.1;0.0;3.4;;;;;24.07.2010
2001206;2010;7;25;14.48;23.4;15.3;0.0;3.2;;;;;25.07.2010
2001207;2010;7;26;15.49;22.9;14.4;0.0;3.2;;;;;26.07.2010
2001208;2010;7;27;17.69;25.7;17.6;0.0;4.0;;;;;27.07.2010
2001209;2010;7;28;25.01;24.9;17.6;0.0;5.3;;;;;28.07.2010
2001210;2010;7;29;19.06;22.8;14.6;0.0;4.2;;;;;29.07.2010
2001211;2010;7;30;21.91;25.7;10.7;0.0;4.1;;;;;30.07.2010
2001212;2010;7;31;20.90;28.7;14.0;0.0;4.7;;;;;31.07.2010
2001213;2010;8;1;12.53;22.2;13.4;0.5;2.8;;;;;01.08.2010
2001214;2010;8;2;16.73;22.1;14.2;2.5;3.0;;;;;02.08.2010
2001215;2010;8;3;21.16;23.6;11.2;0.5;3.9;;;;;03.08.2010
2001216;2010;8;4;14.23;21.8;15.4;2.0;3.2;;;;;04.08.2010
2001217;2010;8;5;20.70;21.5;11.4;0.0;4.0;;;;;05.08.2010
2001218;2010;8;6;18.65;23.4;8.0;0.0;3.3;;;;;06.08.2010
2001219;2010;8;7;13.60;22.5;12.8;0.0;2.8;;;;;07.08.2010
2001220;2010;8;8;18.86;24.8;13.0;0.0;3.5;;;;;08.08.2010
2001221;2010;8;9;17.76;26.0;8.7;0.0;3.4;;;;;09.08.2010
2001222;2010;8;10;10.16;22.0;7.8;11.5;2.0;;;;;10.08.2010
2001223;2010;8;11;18.63;24.1;17.0;0.0;3.7;;;;;11.08.2010
2001224;2010;8;12;16.41;22.4;11.7;0.0;3.2;;;;;12.08.2010
2001225;2010;8;13;15.14;20.8;11.3;5.0;2.8;;;;;13.08.2010
2001226;2010;8;14;12.48;19.7;11.9;1.0;2.1;;;;;14.08.2010
2001227;2010;8;15;5.17;18.2;11.2;3.5;1.1;;;;;15.08.2010
2001228;2010;8;16;16.39;20.3;14.5;0.0;3.7;;;;;16.08.2010
2001229;2010;8;17;7.49;18.6;15.0;0.5;2.0;;;;;17.08.2010
2001230;2010;8;18;14.42;19.9;15.1;0.0;3.0;;;;;18.08.2010
2001231;2010;8;19;22.99;25.8;6.7;0.0;4.0;;;;;19.08.2010
2001232;2010;8;20;23.79;29.4;10.1;0.0;4.7;;;;;20.08.2010
2001233;2010;8;21;22.34;28.8;13.5;0.0;4.3;;;;;21.08.2010
2001234;2010;8;22;12.91;26.9;15.5;0.5;2.7;;;;;22.08.2010
2001235;2010;8;23;13.78;24.6;18.4;1.0;3.8;;;;;23.08.2010
2001236;2010;8;24;17.40;21.5;10.9;0.0;3.4;;;;;24.08.2010
2001237;2010;8;25;11.02;21.9;8.8;0.0;2.7;;;;;25.08.2010
2001238;2010;8;26;5.35;24.7;18.9;6.5;2.2;;;;;26.08.2010
2001239;2010;8;27;13.31;22.5;16.2;4.4;2.7;;;;;27.08.2010
2001240;2010;8;28;19.46;20.0;10.4;0.0;3.1;;;;;28.08.2010
2001241;2010;8;29;10.04;19.0;11.0;2.0;2.4;;;;;29.08.2010
2001242;2010;8;30;19.41;18.4;8.6;0.0;2.7;;;;;30.08.2010
2001243;2010;8;31;21.34;21.7;3.9;0.0;3.0;;;;;31.08.2010
2001244;2010;9;1;21.35;22.9;8.3;0.0;3.7;;;;;01.09.2010
2001245;2010;9;2;20.97;24.3;10.5;0.0;3.8;;;;;02.09.2010
2001246;2010;9;3;20.92;25.1;8.6;0.0;3.3;;;;;03.09.2010
2001247;2010;9;4;18.68;23.9;7.1;0.0;3.0;;;;;04.09.2010
2001248;2010;9;5;18.15;26.3;8.7;0.0;3.5;;;;;05.09.2010
2001249;2010;9;6;7.38;21.0;13.3;4.0;2.4;;;;;06.09.2010
2001250;2010;9;7;16.01;23.4;11.5;5.5;2.6;;;;;07.09.2010
2001251;2010;9;8;6.51;19.2;14.4;11.5;1.4;;;;;08.09.2010
2001252;2010;9;9;15.97;21.3;10.3;0.0;2.4;;;;;09.09.2010
2001253;2010;9;10;16.21;23.7;9.6;0.0;2.5;;;;;10.09.2010
2001254;2010;9;11;16.97;25.7;10.6;1.0;2.9;;;;;11.09.2010
2001255;2010;9;12;16.17;21.1;14.7;0.0;2.7;;;;;12.09.2010
2001256;2010;9;13;17.06;20.9;8.5;0.0;2.5;;;;;13.09.2010
2001257;2010;9;14;15.73;22.9;14.2;4.0;3.1;;;;;14.09.2010
2001258;2010;9;15;14.65;19.0;13.0;0.0;2.8;;;;;15.09.2010
2001259;2010;9;16;13.55;20.4;11.0;0.0;2.4;;;;;16.09.2010
2001260;2010;9;17;15.15;18.4;8.9;0.0;2.2;;;;;17.09.2010
2001261;2010;9;18;15.07;18.3;3.0;0.0;1.9;;;;;18.09.2010
2001262;2010;9;19;17.39;20.2;0.8;0.0;2.0;;;;;19.09.2010
2001263;2010;9;20;17.79;22.5;3.2;0.0;2.3;;;;;20.09.2010
2001264;2010;9;21;17.40;24.7;5.5;0.0;2.5;;;;;21.09.2010
2001265;2010;9;22;16.58;28.6;3.9;0.5;2.7;;;;;22.09.2010
2001266;2010;9;23;9.65;23.1;12.0;7.0;2.0;;;;;23.09.2010
2001267;2010;9;24;9.34;17.4;11.8;12.0;1.4;;;;;24.09.2010
2001268;2010;9;25;11.38;14.1;9.0;0.0;1.7;;;;;25.09.2010
2001269;2010;9;26;9.00;13.9;6.3;15.0;1.0;;;;;26.09.2010
2001270;2010;9;27;11.84;18.5;7.2;0.0;1.2;;;;;27.09.2010
2001271;2010;9;28;4.77;16.7;11.3;0.0;0.9;;;;;28.09.2010
2001272;2010;9;29;10.71;19.8;6.8;3.5;1.3;;;;;29.09.2010
2001273;2010;9;30;10.08;17.6;11.5;0.0;1.4;;;;;30.09.2010
2001274;2010;10;1;3.43;15.6;8.9;14.6;0.6;;;;;01.10.2010
2001275;2010;10;2;4.89;19.6;13.8;3.0;1.0;;;;;02.10.2010
2001276;2010;10;3;5.50;20.4;13.1;5.4;1.5;;;;;03.10.2010
2001277;2010;10;4;4.39;20.1;14.2;10.2;0.9;;;;;04.10.2010
2001278;2010;10;5;4.00;18.0;9.7;2.4;0.6;;;;;05.10.2010
2001279;2010;10;6;4.92;17.4;14.7;0.0;1.1;;;;;06.10.2010
2001280;2010;10;7;9.22;20.6;9.9;0.0;1.1;;;;;07.10.2010
2001281;2010;10;8;10.54;21.7;10.6;0.0;1.2;;;;;08.10.2010
2001282;2010;10;9;11.06;22.0;12.6;0.0;1.3;;;;;09.10.2010
2001283;2010;10;10;12.81;19.0;12.1;0.0;1.8;;;;;10.10.2010
2001284;2010;10;11;13.93;19.7;8.1;0.0;2.7;;;;;11.10.2010
2001285;2010;10;12;13.26;17.7;6.1;0.0;1.7;;;;;12.10.2010
2001286;2010;10;13;12.66;14.6;6.2;0.0;1.3;;;;;13.10.2010
2001287;2010;10;14;11.62;15.9;9.0;0.0;1.3;;;;;14.10.2010
2001288;2010;10;15;3.99;13.3;10.4;2.2;0.8;;;;;15.10.2010
2001289;2010;10;16;7.42;13.4;9.1;1.4;0.9;;;;;16.10.2010
2001290;2010;10;17;12.50;11.8;2.0;0.0;0.9;;;;;17.10.2010
2001291;2010;10;18;8.49;13.9;0.4;0.0;0.6;;;;;18.10.2010
2001292;2010;10;19;5.85;13.7;8.7;6.0;0.9;;;;;19.10.2010
2001293;2010;10;20;10.38;11.1;4.7;0.0;0.9;;;;;20.10.2010
2001294;2010;10;21;11.24;12.2;-3.6;0.0;0.6;;;;;21.10.2010
2001295;2010;10;22;9.22;14.4;-0.8;0.0;0.6;;;;;22.10.2010
2001296;2010;10;23;2.98;11.3;1.6;9.5;0.7;;;;;23.10.2010
2001297;2010;10;24;7.64;12.9;5.7;2.0;0.6;;;;;24.10.2010
2001298;2010;10;25;9.56;11.5;1.6;0.0;0.5;;;;;25.10.2010
2001299;2010;10;26;6.75;11.0;-3.3;0.0;0.5;;;;;26.10.2010
2001300;2010;10;27;5.50;13.2;8.0;0.0;1.1;;;;;27.10.2010
2001301;2010;10;28;8.63;14.5;4.9;0.0;0.5;;;;;28.10.2010
2001302;2010;10;29;2.85;13.9;7.1;3.0;1.1;;;;;29.10.2010
2001303;2010;10;30;7.57;15.3;7.9;0.5;0.6;;;;;30.10.2010
2001304;2010;10;31;7.20;16.4;8.8;0.0;0.6;;;;;31.10.2010
2001305;2010;11;1;3.50;12.7;7.8;0.0;0.4;;;;;01.11.2010
2001306;2010;11;2;3.12;14.6;3.8;0.0;0.3;;;;;02.11.2010
2001307;2010;11;3;2.87;16.0;9.9;0.0;0.4;;;;;03.11.2010
2001308;2010;11;4;6.09;17.6;12.9;0.0;1.0;;;;;04.11.2010
2001309;2010;11;5;4.24;16.7;12.0;0.0;1.2;;;;;05.11.2010
2001310;2010;11;6;2.21;13.1;10.7;6.0;0.5;;;;;06.11.2010
2001311;2010;11;7;2.23;7.1;4.9;3.0;0.3;;;;;07.11.2010
2001312;2010;11;8;2.21;10.0;2.6;11.5;0.4;;;;;08.11.2010
2001313;2010;11;9;3.09;10.6;5.2;14.8;0.2;;;;;09.11.2010
2001314;2010;11;10;5.09;9.4;6.0;1.4;0.5;;;;;10.11.2010
2001315;2010;11;11;1.26;15.1;1.9;6.4;0.5;;;;;11.11.2010
2001316;2010;11;12;2.22;15.7;10.0;4.2;1.1;;;;;12.11.2010
2001317;2010;11;13;1.76;15.1;12.8;22.0;0.6;;;;;13.11.2010
2001318;2010;11;14;2.79;13.6;8.9;0.8;0.6;;;;;14.11.2010
2001319;2010;11;15;4.01;11.3;0.6;0.2;0.1;;;;;15.11.2010
2001320;2010;11;16;6.92;12.6;-0.1;0.2;0.2;;;;;16.11.2010
2001321;2010;11;17;1.82;5.7;2.2;2.5;0.2;;;;;17.11.2010
2001322;2010;11;18;2.23;8.6;4.8;0.0;0.2;;;;;18.11.2010
2001323;2010;11;19;2.95;9.0;1.2;0.0;0.1;;;;;19.11.2010
2001324;2010;11;20;5.60;11.4;5.7;1.5;0.4;;;;;20.11.2010
2001325;2010;11;21;2.35;7.4;4.0;1.5;0.2;;;;;21.11.2010
