iso-date,tmin,tmax,tavg,globrad,precip,wind,relhumid
2009-01-01,-0.27,1.41,0.57,1.619,0.0,0.0,80.0
2009-01-02,-0.38,2.01,0.81,1.261,0.0,0.0,80.0
2009-01-03,-2.28,0.82,-0.73,5.765,0.0,0.0,80.0
2009-01-04,-9.79,-1.23,-5.51,5.949,0.0,0.0,80.0
2009-01-05,-6.24,-1.62,-3.93,1.734,0.8,0.0,80.0
2009-01-06,-8.39,-2.25,-5.32,3.613,0.0,0.0,80.0
2009-01-07,-12.46,-2.06,-7.26,6.213,0.0,0.0,80.0
2009-01-08,-4.75,0.17,-2.29,6.236,0.0,0.0,80.0
2009-01-09,-12.06,-1.95,-7.0,5.403,0.0,0.0,80.0
2009-01-10,-12.91,-1.23,-7.07,6.16,0.0,0.0,80.0
2009-01-11,-11.56,5.58,-2.99,6.41,0.0,0.0,80.0
2009-01-12,-7.61,5.54,-1.04,5.231,0.0,0.0,80.0
2009-01-13,0.0,7.71,3.85,3.81,0.4,0.0,80.0
2009-01-14,0.34,3.46,1.9,1.506,1.0,0.0,80.0
2009-01-15,0.61,6.88,3.75,6.544,0.0,0.0,80.0
2009-01-16,-0.87,7.38,3.25,5.514,0.0,0.0,80.0
2009-01-17,3.56,8.84,6.2,3.634,0.4,0.0,80.0
2009-01-18,2.02,8.56,5.29,2.417,8.0,0.0,80.0
2009-01-19,1.12,12.58,6.85,3.355,11.8,0.0,80.0
2009-01-20,0.53,8.58,4.55,6.792,0.0,0.0,80.0
2009-01-21,-0.01,6.49,3.24,3.277,0.0,0.0,80.0
2009-01-22,-2.88,9.93,3.52,1.509,5.0,0.0,80.0
2009-01-23,5.32,13.31,9.32,3.416,4.0,0.0,80.0
2009-01-24,0.65,5.56,3.1,1.262,0.0,0.0,80.0
2009-01-25,-2.67,7.91,2.62,7.577,1.2,0.0,80.0
2009-01-26,1.91,6.86,4.38,5.306,0.2,0.0,80.0
2009-01-27,0.74,5.5,3.12,1.992,0.2,0.0,80.0
2009-01-28,-1.35,1.73,0.19,4.42,0.2,0.0,80.0
2009-01-29,-3.52,3.62,0.05,7.342,0.0,0.0,80.0
2009-01-30,-4.12,4.86,0.37,7.951,0.2,0.0,80.0
2009-01-31,-2.69,4.29,0.8,7.946,0.0,0.0,80.0
2009-02-01,-4.19,2.21,-0.99,6.754,3.4,0.0,80.0
2009-02-02,-0.17,8.29,4.06,3.811,4.2,0.0,80.0
2009-02-03,-0.65,0.44,-0.11,2.547,1.4,0.0,80.0
2009-02-04,-2.27,5.74,1.74,5.139,0.0,0.0,80.0
2009-02-05,0.12,12.55,6.33,6.224,0.2,0.0,80.0
2009-02-06,-0.55,12.09,5.77,6.8,0.0,0.0,80.0
2009-02-07,1.67,5.62,3.65,1.816,0.8,0.0,80.0
2009-02-08,-1.47,5.62,2.08,5.846,0.4,0.0,80.0
2009-02-09,-1.02,11.67,5.33,1.742,9.0,0.0,80.0
2009-02-10,3.55,6.69,5.12,2.589,3.2,0.0,80.0
2009-02-11,-0.59,5.39,2.4,6.738,0.8,0.0,80.0
2009-02-12,0.33,4.73,2.53,6.369,0.0,0.0,80.0
2009-02-13,-0.58,2.3,0.86,1.965,0.2,0.0,80.0
2009-02-14,-2.45,4.42,0.98,5.201,0.0,0.0,80.0
2009-02-15,-7.15,4.08,-1.54,9.203,0.6,0.0,80.0
2009-02-16,-3.54,5.68,1.07,1.489,3.2,0.0,80.0
2009-02-17,3.62,8.5,6.06,1.847,0.2,0.0,80.0
2009-02-18,0.24,4.18,2.21,7.157,0.0,0.0,80.0
2009-02-19,-7.46,5.16,-1.15,11.323,0.0,0.0,80.0
2009-02-20,-1.17,8.12,3.47,6.184,0.0,0.0,80.0
2009-02-21,-1.1,7.38,3.14,5.238,0.0,0.0,80.0
2009-02-22,3.48,8.97,6.23,2.261,0.4,0.0,80.0
2009-02-23,4.73,7.92,6.33,2.469,1.6,0.0,80.0
2009-02-24,4.34,7.6,5.97,4.95,0.0,0.0,80.0
2009-02-25,-3.1,9.2,3.05,12.289,0.2,0.0,80.0
2009-02-26,-4.17,9.2,2.51,7.789,0.2,0.0,80.0
2009-02-27,2.15,12.02,7.08,10.98,0.0,0.0,80.0
2009-02-28,-0.57,15.14,7.29,13.091,0.2,0.0,80.0
2009-03-01,1.28,13.66,7.47,4.713,0.0,0.0,80.0
2009-03-02,6.21,11.85,9.03,4.126,0.0,0.0,80.0
2009-03-03,-3.65,11.78,4.06,10.076,0.2,0.0,80.0
2009-03-04,-0.46,7.04,3.29,3.314,4.8,0.0,80.0
2009-03-05,-1.27,5.0,1.86,4.986,0.2,0.0,80.0
2009-03-06,0.87,9.11,4.99,12.994,0.0,0.0,80.0
2009-03-07,-2.76,9.87,3.55,5.483,0.2,0.0,80.0
2009-03-08,3.17,13.5,8.34,6.002,4.4,0.0,80.0
2009-03-09,3.06,11.03,7.04,9.105,0.4,0.0,80.0
2009-03-10,3.99,10.6,7.29,3.134,8.2,0.0,80.0
2009-03-11,0.69,10.39,5.54,14.062,0.2,0.0,80.0
2009-03-12,-1.2,12.61,5.71,7.22,0.0,0.0,80.0
2009-03-13,5.48,13.58,9.53,12.926,0.2,0.0,80.0
2009-03-14,1.93,16.23,9.08,8.409,0.0,0.0,80.0
2009-03-15,3.86,14.15,9.01,15.592,0.2,0.0,80.0
2009-03-16,1.42,13.83,7.63,16.602,0.0,0.0,80.0
2009-03-17,-0.33,15.3,7.49,16.439,0.0,0.0,80.0
2009-03-18,-0.15,16.88,8.37,17.628,0.2,0.0,80.0
2009-03-19,-1.67,15.84,7.08,16.969,0.0,0.0,80.0
2009-03-20,1.42,10.09,5.75,18.338,0.0,0.0,80.0
2009-03-21,-4.86,10.65,2.9,18.135,0.0,0.0,80.0
2009-03-22,-1.94,8.36,3.21,12.164,0.0,0.0,80.0
2009-03-23,-0.09,15.44,7.67,14.449,3.2,0.0,80.0
2009-03-24,2.75,9.13,5.94,8.058,0.0,0.0,80.0
2009-03-25,1.22,12.43,6.83,6.627,3.2,0.0,80.0
2009-03-26,5.13,11.47,8.3,8.65,3.0,0.0,80.0
2009-03-27,5.54,12.47,9.01,10.012,2.2,0.0,80.0
2009-03-28,6.35,12.5,9.43,9.473,1.2,0.0,80.0
2009-03-29,-1.2,9.49,4.15,10.759,0.0,0.0,80.0
2009-03-30,-1.22,12.49,5.63,19.312,0.0,0.0,80.0
2009-03-31,-0.15,15.15,7.5,19.895,0.0,0.0,80.0
2009-04-01,3.76,14.36,9.06,16.233,0.0,0.0,80.0
2009-04-02,2.71,17.87,10.29,15.3,0.2,0.0,80.0
2009-04-03,3.78,19.09,11.44,10.351,0.0,0.0,80.0
2009-04-04,9.29,15.92,12.61,11.105,0.0,0.0,80.0
2009-04-05,4.04,17.04,10.54,16.113,0.0,0.0,80.0
2009-04-06,2.22,22.84,12.53,19.605,0.0,0.0,80.0
2009-04-07,7.15,13.28,10.21,5.013,3.8,0.0,80.0
2009-04-08,3.28,16.01,9.65,15.494,0.0,0.0,80.0
2009-04-09,10.01,22.06,16.04,21.875,0.0,0.0,80.0
2009-04-10,7.01,22.65,14.83,16.194,1.8,0.0,80.0
2009-04-11,8.04,21.48,14.76,10.723,8.2,0.0,80.0
2009-04-12,9.86,19.94,14.9,16.762,0.2,0.0,80.0
2009-04-13,8.29,19.33,13.81,16.196,0.0,0.0,80.0
2009-04-14,9.85,20.82,15.34,16.25,0.2,0.0,80.0
2009-04-15,8.11,23.36,15.73,16.566,0.2,0.0,80.0
2009-04-16,7.37,13.68,10.53,12.855,4.4,0.0,80.0
2009-04-17,5.91,16.27,11.09,18.323,0.0,0.0,80.0
2009-04-18,5.52,13.95,9.73,18.601,6.2,0.0,80.0
2009-04-19,8.87,18.36,13.61,22.365,0.0,0.0,80.0
2009-04-20,7.98,20.87,14.43,23.547,0.2,0.0,80.0
2009-04-21,7.38,20.49,13.93,21.058,0.0,0.0,80.0
2009-04-22,6.3,19.16,12.73,24.044,0.2,0.0,80.0
2009-04-23,2.5,17.16,9.83,25.397,0.0,0.0,80.0
2009-04-24,2.52,18.44,10.48,25.785,0.2,0.0,80.0
2009-04-25,1.78,12.61,7.19,3.059,16.0,0.0,80.0
2009-04-26,9.24,13.7,11.47,3.119,19.2,0.0,80.0
