iso-date,tmin,tmax,tavg,globrad,precip,wind,relhumid
2011-01-01,-1.68,2.22,0.27,1.232,0.2,0.0,80.0
2011-01-02,0.42,3.84,2.13,2.254,0.0,0.0,80.0
2011-01-03,-1.76,2.04,0.14,2.923,0.2,0.0,80.0
2011-01-04,-2.26,-0.49,-1.38,1.589,0.0,0.0,80.0
2011-01-05,-2.77,9.62,3.42,2.367,7.0,0.0,80.0
2011-01-06,2.12,12.22,7.17,0.936,4.2,0.0,80.0
2011-01-07,9.62,11.92,10.77,1.612,6.0,0.0,80.0
2011-01-08,9.93,12.72,11.32,3.492,7.8,0.0,80.0
2011-01-09,3.33,8.23,5.78,3.032,0.4,0.0,80.0
2011-01-10,0.31,6.84,3.57,5.007,3.4,0.0,80.0
2011-01-11,0.02,10.23,5.13,2.829,2.6,0.0,80.0
2011-01-12,4.83,11.44,8.13,0.947,1.8,0.0,80.0
2011-01-13,10.73,13.54,12.13,2.754,0.2,0.0,80.0
2011-01-14,9.13,12.32,10.73,1.82,1.6,0.0,80.0
2011-01-15,7.02,10.83,8.93,4.457,0.2,0.0,80.0
2011-01-16,2.41,11.8,7.11,5.904,0.4,0.0,80.0
2011-01-17,1.42,9.7,5.56,2.494,0.0,0.0,80.0
2011-01-18,6.42,8.63,7.53,1.937,0.2,0.0,80.0
2011-01-19,-0.67,5.64,2.48,3.667,0.2,0.0,80.0
2011-01-20,0.83,5.05,2.94,4.692,0.2,0.0,80.0
2011-01-21,-1.27,0.85,-0.21,4.066,0.0,0.0,80.0
2011-01-22,-2.07,4.15,1.04,1.624,0.2,0.0,80.0
2011-01-23,1.06,5.75,3.41,2.732,0.0,0.0,80.0
2011-01-24,4.04,5.64,4.84,2.62,0.4,0.0,80.0
2011-01-25,1.53,6.55,4.04,4.841,0.4,0.0,80.0
2011-01-26,2.23,4.04,3.13,1.424,4.2,0.0,80.0
2011-01-27,1.83,3.84,2.83,1.862,0.0,0.0,80.0
2011-01-28,-0.47,1.04,0.29,1.313,0.0,0.0,80.0
2011-01-29,-2.47,1.11,-0.68,5.413,0.0,0.0,80.0
2011-01-30,-4.07,0.32,-1.88,5.661,0.0,0.0,80.0
2011-01-31,-5.08,-0.27,-2.67,4.304,0.0,0.0,80.0
2011-02-01,-4.68,-1.37,-3.02,1.903,0.0,0.0,80.0
2011-02-02,-2.76,3.14,0.19,2.819,1.8,0.0,80.0
2011-02-03,0.74,7.44,4.09,2.463,1.2,0.0,80.0
2011-02-04,3.93,9.84,6.88,2.596,0.0,0.0,80.0
2011-02-05,8.22,10.13,9.18,2.539,0.0,0.0,80.0
2011-02-06,4.02,8.79,6.4,4.036,0.0,0.0,80.0
2011-02-07,-2.21,12.38,5.09,9.021,0.4,0.0,80.0
2011-02-08,4.63,8.59,6.61,1.929,0.0,0.0,80.0
2011-02-09,5.71,8.38,7.04,3.99,0.2,0.0,80.0
2011-02-10,0.41,14.88,7.65,4.542,0.0,0.0,80.0
2011-02-11,7.03,16.91,11.97,8.91,0.0,0.0,80.0
2011-02-12,3.53,10.12,6.82,3.64,2.0,0.0,80.0
2011-02-13,2.81,9.62,6.21,4.7,0.0,0.0,80.0
2011-02-14,5.14,9.04,7.09,4.011,1.4,0.0,80.0
2011-02-15,2.13,10.04,6.08,3.382,2.0,0.0,80.0
2011-02-16,0.03,11.13,5.58,9.169,0.0,0.0,80.0
2011-02-17,1.32,8.52,4.92,5.453,0.2,0.0,80.0
2011-02-18,-1.57,3.94,1.19,2.461,0.0,0.0,80.0
2011-02-19,0.03,7.51,3.77,2.975,4.8,0.0,80.0
2011-02-20,5.63,7.75,6.69,2.594,0.0,0.0,80.0
2011-02-21,1.22,8.24,4.73,3.403,2.0,0.0,80.0
2011-02-22,2.43,7.24,4.83,8.37,0.0,0.0,80.0
2011-02-23,-0.67,7.43,3.38,3.768,6.8,0.0,80.0
2011-02-24,4.13,11.65,7.89,2.924,0.0,0.0,80.0
2011-02-25,4.62,11.84,8.23,7.5,0.0,0.0,80.0
2011-02-26,6.53,12.14,9.34,4.028,7.8,0.0,80.0
2011-02-27,3.23,9.45,6.34,8.443,0.0,0.0,80.0
2011-02-28,-0.47,7.05,3.29,5.982,0.2,0.0,80.0
2011-03-01,1.52,8.66,5.09,10.491,0.0,0.0,80.0
2011-03-02,1.53,9.56,5.54,12.236,0.0,0.0,80.0
2011-03-03,0.24,8.34,4.29,12.808,0.0,0.0,80.0
2011-03-04,-1.18,9.73,4.28,12.728,0.0,0.0,80.0
2011-03-05,-1.78,10.63,4.43,12.633,0.0,0.0,80.0
2011-03-06,-0.38,8.33,3.98,13.99,0.0,0.0,80.0
2011-03-07,-0.98,9.12,4.07,14.323,0.0,0.0,80.0
2011-03-08,-2.29,16.14,6.93,13.616,0.0,0.0,80.0
2011-03-09,5.03,12.52,8.78,10.956,0.0,0.0,80.0
2011-03-10,0.71,11.42,6.06,8.901,0.2,0.0,80.0
