*WEATHER;DATA;:;;;;;;;;;;;Latitude = 47.904167 § Longitude = 1.521944 § Altitude = 129
2001093;2010;4;3;10.09;11.1;5.5;9.4;1.7;;;;;03.04.2010
2001094;2010;4;4;14.72;11.7;4.9;0.4;2.2;;;;;04.04.2010
2001095;2010;4;5;18.34;13.2;0.7;0.0;2.0;;;;;05.04.2010
2001096;2010;4;6;22.11;19.7;1.7;0.0;2.9;;;;;06.04.2010
2001097;2010;4;7;15.40;16.0;8.2;0.0;2.3;;;;;07.04.2010
2001098;2010;4;8;10.99;14.4;6.8;0.6;1.9;;;;;08.04.2010
2001099;2010;4;9;21.60;17.6;3.9;0.0;2.9;;;;;09.04.2010
2001100;2010;4;10;21.84;16.8;5.9;0.0;3.1;;;;;10.04.2010
2001101;2010;4;11;20.47;14.2;3.8;0.0;2.9;;;;;11.04.2010
2001102;2010;4;12;18.75;12.7;3.2;0.0;2.6;;;;;12.04.2010
2001103;2010;4;13;12.20;12.5;4.8;5.6;1.8;;;;;13.04.2010
2001104;2010;4;14;8.21;12.9;4.2;0.0;1.3;;;;;14.04.2010
2001105;2010;4;15;20.09;15.7;4.1;0.2;2.8;;;;;15.04.2010
2001106;2010;4;16;22.74;15.8;5.3;0.0;3.2;;;;;16.04.2010
2001107;2010;4;17;23.53;18.1;2.8;0.0;3.2;;;;;17.04.2010
2001108;2010;4;18;23.60;21.2;1.0;0.0;3.3;;;;;18.04.2010
2001109;2010;4;19;22.96;21.1;2.4;0.0;3.3;;;;;19.04.2010
2001110;2010;4;20;24.29;18.4;6.2;0.0;3.5;;;;;20.04.2010
2001111;2010;4;21;23.07;16.6;0.5;0.0;3.2;;;;;21.04.2010
2001112;2010;4;22;21.85;16.4;5.4;0.0;3.4;;;;;22.04.2010
2001113;2010;4;23;23.54;19.0;3.9;0.0;3.6;;;;;23.04.2010
2001114;2010;4;24;22.66;23.7;1.8;0.0;3.7;;;;;24.04.2010
2001115;2010;4;25;20.26;20.2;7.7;0.0;3.3;;;;;25.04.2010
2001116;2010;4;26;21.20;18.1;6.1;0.0;3.2;;;;;26.04.2010
2001117;2010;4;27;24.68;19.9;4.6;0.0;3.7;;;;;27.04.2010
2001118;2010;4;28;25.42;26.1;3.7;0.0;4.2;;;;;28.04.2010
2001119;2010;4;29;20.09;26.1;9.5;0.0;4.4;;;;;29.04.2010
2001120;2010;4;30;16.10;16.9;8.8;0.0;2.8;;;;;30.04.2010
2001121;2010;5;1;12.09;16.5;7.2;0.0;2.2;;;;;01.05.2010
2001122;2010;5;2;16.88;14.6;8.3;1.6;2.7;;;;;02.05.2010
2001123;2010;5;3;8.62;10.6;5.5;0.0;2.0;;;;;03.05.2010
2001124;2010;5;4;18.13;12.9;4.5;0.0;3.4;;;;;04.05.2010
2001125;2010;5;5;19.02;13.0;3.9;0.0;3.3;;;;;05.05.2010
2001126;2010;5;6;23.65;15.0;3.7;0.0;3.6;;;;;06.05.2010
2001127;2010;5;7;23.42;14.3;2.5;0.0;3.2;;;;;07.05.2010
2001128;2010;5;8;13.34;16.6;6.0;5.8;2.2;;;;;08.05.2010
2001129;2010;5;9;19.38;17.7;5.9;0.0;2.9;;;;;09.05.2010
2001130;2010;5;10;6.77;13.5;9.0;2.8;1.4;;;;;10.05.2010
2001131;2010;5;11;3.07;7.4;6.1;0.0;0.5;;;;;11.05.2010
2001132;2010;5;12;13.05;10.4;2.9;0.0;2.0;;;;;12.05.2010
2001133;2010;5;13;19.23;12.6;3.6;0.0;2.7;;;;;13.05.2010
2001134;2010;5;14;17.43;13.3;0.5;0.0;2.4;;;;;14.05.2010
2001135;2010;5;15;22.35;16.2;1.2;0.0;3.3;;;;;15.05.2010
2001136;2010;5;16;22.02;16.1;1.5;0.0;3.3;;;;;16.05.2010
2001137;2010;5;17;24.76;18.5;6.3;0.0;4.1;;;;;17.05.2010
2001138;2010;5;18;24.71;18.6;4.5;0.0;4.0;;;;;18.05.2010
2001139;2010;5;19;27.87;19.5;5.9;0.0;4.6;;;;;19.05.2010
2001140;2010;5;20;29.32;22.0;5.8;0.0;5.0;;;;;20.05.2010
2001141;2010;5;21;28.70;23.3;9.2;0.0;5.1;;;;;21.05.2010
2001142;2010;5;22;28.45;24.3;10.4;0.0;5.3;;;;;22.05.2010
2001143;2010;5;23;29.61;26.1;9.3;0.0;5.6;;;;;23.05.2010
2001144;2010;5;24;29.90;28.7;8.0;0.0;5.4;;;;;24.05.2010
2001145;2010;5;25;16.97;26.2;11.3;0.6;3.7;;;;;25.05.2010
2001146;2010;5;26;16.09;22.0;14.0;3.0;3.2;;;;;26.05.2010
2001147;2010;5;27;15.38;20.2;11.8;0.8;3.0;;;;;27.05.2010
2001148;2010;5;28;29.29;20.5;10.2;0.0;4.7;;;;;28.05.2010
2001149;2010;5;29;11.96;17.4;6.4;3.2;2.7;;;;;29.05.2010
2001150;2010;5;30;12.31;17.3;13.0;2.2;2.5;;;;;30.05.2010
2001151;2010;5;31;19.47;18.6;11.3;0.0;3.5;;;;;31.05.2010
2001152;2010;6;1;11.41;18.0;9.3;7.0;2.1;;;;;01.06.2010
2001153;2010;6;2;18.46;21.0;10.6;0.0;3.4;;;;;02.06.2010
2001154;2010;6;3;29.73;24.8;9.6;0.0;5.4;;;;;03.06.2010
2001155;2010;6;4;30.35;27.7;9.7;0.0;5.7;;;;;04.06.2010
2001156;2010;6;5;28.47;29.8;11.1;0.0;5.5;;;;;05.06.2010
2001157;2010;6;6;13.01;20.5;15.7;0.6;2.8;;;;;06.06.2010
2001158;2010;6;7;23.37;21.3;9.0;0.0;4.0;;;;;07.06.2010
2001159;2010;6;8;15.08;21.0;13.7;3.8;3.1;;;;;08.06.2010
2001160;2010;6;9;8.46;19.0;13.9;3.6;1.7;;;;;09.06.2010
2001161;2010;6;10;10.65;24.3;14.9;12.0;2.1;;;;;10.06.2010
2001162;2010;6;11;21.98;25.1;12.1;13.4;4.0;;;;;11.06.2010
2001163;2010;6;12;13.23;20.8;14.4;0.2;2.6;;;;;12.06.2010
2001164;2010;6;13;21.10;20.9;11.0;0.0;3.7;;;;;13.06.2010
2001165;2010;6;14;18.69;19.1;11.8;3.4;3.2;;;;;14.06.2010
2001166;2010;6;15;16.78;20.8;13.1;0.0;3.5;;;;;15.06.2010
2001167;2010;6;16;17.48;19.8;9.8;4.2;3.7;;;;;16.06.2010
2001168;2010;6;17;8.43;18.0;12.9;0.4;1.9;;;;;17.06.2010
2001169;2010;6;18;17.79;20.6;13.3;0.0;3.3;;;;;18.06.2010
2001170;2010;6;19;14.69;17.1;9.9;1.6;2.7;;;;;19.06.2010
2001171;2010;6;20;13.91;15.3;7.8;0.0;2.8;;;;;20.06.2010
2001172;2010;6;21;16.03;17.4;7.2;0.0;2.9;;;;;21.06.2010
2001173;2010;6;22;30.13;23.4;7.3;0.0;5.2;;;;;22.06.2010
2001174;2010;6;23;28.32;25.0;8.7;0.0;5.3;;;;;23.06.2010
2001175;2010;6;24;29.76;27.1;12.2;0.0;5.8;;;;;24.06.2010
2001176;2010;6;25;29.75;27.7;12.2;0.0;5.8;;;;;25.06.2010
2001177;2010;6;26;28.88;29.8;13.5;0.0;5.9;;;;;26.06.2010
2001178;2010;6;27;28.31;31.3;15.2;0.0;6.2;;;;;27.06.2010
2001179;2010;6;28;24.04;29.3;16.4;0.6;5.3;;;;;28.06.2010
2001180;2010;6;29;27.09;28.9;16.8;0.0;5.9;;;;;29.06.2010
2001181;2010;6;30;29.49;30.6;11.5;0.0;6.1;;;;;30.06.2010
2001182;2010;7;1;24.34;32.4;15.8;0.0;5.7;;;;;01.07.2010
2001183;2010;7;2;22.58;33.7;17.2;6.0;5.5;;;;;02.07.2010
2001184;2010;7;3;14.26;24.2;18.5;2.8;3.0;;;;;03.07.2010
2001185;2010;7;4;30.67;28.5;12.8;0.0;5.8;;;;;04.07.2010
2001186;2010;7;5;24.83;26.9;13.0;0.0;5.2;;;;;05.07.2010
2001187;2010;7;6;29.00;25.5;9.6;0.0;5.1;;;;;06.07.2010
2001188;2010;7;7;30.26;29.4;10.2;0.0;5.8;;;;;07.07.2010
2001189;2010;7;8;29.50;32.9;11.8;4.0;6.5;;;;;08.07.2010
2001190;2010;7;9;20.38;32.0;19.5;1.0;5.0;;;;;09.07.2010
2001191;2010;7;10;16.97;28.1;18.3;3.2;3.9;;;;;10.07.2010
2001192;2010;7;11;24.02;29.3;15.2;9.6;5.3;;;;;11.07.2010
2001193;2010;7;12;18.91;27.5;18.2;0.0;4.3;;;;;12.07.2010
2001194;2010;7;13;24.41;27.4;17.1;0.0;5.5;;;;;13.07.2010
2001195;2010;7;14;10.67;21.4;14.1;19.6;2.5;;;;;14.07.2010
2001196;2010;7;15;23.83;24.0;13.5;0.0;5.2;;;;;15.07.2010
2001197;2010;7;16;17.84;23.7;12.5;0.0;3.8;;;;;16.07.2010
2001198;2010;7;17;21.11;23.3;12.3;0.0;4.3;;;;;17.07.2010
2001199;2010;7;18;29.51;25.9;8.8;0.0;5.5;;;;;18.07.2010
2001200;2010;7;19;29.03;29.8;9.6;0.0;5.7;;;;;19.07.2010
2001201;2010;7;20;25.20;30.9;13.6;0.0;6.0;;;;;20.07.2010
2001202;2010;7;21;13.53;21.6;16.3;1.8;3.2;;;;;21.07.2010
2001203;2010;7;22;17.25;24.1;10.8;2.0;3.7;;;;;22.07.2010
2001204;2010;7;23;20.58;23.0;10.5;3.6;4.0;;;;;23.07.2010
2001205;2010;7;24;18.04;23.5;9.2;0.0;3.5;;;;;24.07.2010
2001206;2010;7;25;16.03;25.6;11.6;0.0;3.7;;;;;25.07.2010
2001207;2010;7;26;17.55;25.6;11.7;0.4;3.8;;;;;26.07.2010
2001208;2010;7;27;14.59;27.5;15.3;0.0;3.4;;;;;27.07.2010
2001209;2010;7;28;22.97;27.4;14.0;0.0;5.2;;;;;28.07.2010
2001210;2010;7;29;16.68;23.5;11.5;0.0;4.0;;;;;29.07.2010
2001211;2010;7;30;22.42;25.3;11.2;0.0;4.5;;;;;30.07.2010
2001212;2010;7;31;23.26;29.7;15.6;0.0;5.4;;;;;31.07.2010
2001213;2010;8;1;21.57;24.7;15.5;0.0;4.4;;;;;01.08.2010
2001214;2010;8;2;17.08;25.3;10.6;0.0;3.5;;;;;02.08.2010
2001215;2010;8;3;22.57;25.1;9.7;0.0;4.3;;;;;03.08.2010
2001216;2010;8;4;16.39;23.1;16.0;0.2;4.2;;;;;04.08.2010
2001217;2010;8;5;18.45;23.8;12.5;0.0;4.1;;;;;05.08.2010
2001218;2010;8;6;24.58;24.6;8.1;0.0;4.3;;;;;06.08.2010
2001219;2010;8;7;21.31;27.3;12.3;0.0;4.6;;;;;07.08.2010
2001220;2010;8;8;24.43;25.7;11.3;0.0;4.5;;;;;08.08.2010
2001221;2010;8;9;22.55;28.4;10.7;0.0;4.6;;;;;09.08.2010
2001222;2010;8;10;15.14;24.4;10.7;0.2;3.6;;;;;10.08.2010
2001223;2010;8;11;9.61;23.3;16.6;8.0;2.2;;;;;11.08.2010
2001224;2010;8;12;18.52;23.5;11.0;0.0;3.8;;;;;12.08.2010
2001225;2010;8;13;17.63;22.0;9.9;0.0;3.3;;;;;13.08.2010
2001226;2010;8;14;13.46;20.2;11.4;13.2;2.5;;;;;14.08.2010
2001227;2010;8;15;6.30;16.4;12.9;12.6;1.3;;;;;15.08.2010
2001228;2010;8;16;12.67;23.3;13.8;0.0;3.1;;;;;16.08.2010
2001229;2010;8;17;10.66;20.2;12.1;0.2;2.6;;;;;17.08.2010
2001230;2010;8;18;17.39;21.9;15.3;0.2;3.4;;;;;18.08.2010
2001231;2010;8;19;23.22;25.3;9.3;0.0;4.1;;;;;19.08.2010
2001232;2010;8;20;23.49;29.8;13.7;0.0;4.7;;;;;20.08.2010
2001233;2010;8;21;24.42;30.9;15.3;0.0;5.0;;;;;21.08.2010
2001234;2010;8;22;16.87;29.0;18.4;0.0;4.1;;;;;22.08.2010
2001235;2010;8;23;9.75;23.1;18.8;6.8;2.6;;;;;23.08.2010
2001236;2010;8;24;20.87;21.7;12.4;0.0;3.7;;;;;24.08.2010
2001237;2010;8;25;12.41;23.2;12.1;0.0;2.8;;;;;25.08.2010
2001238;2010;8;26;11.34;26.9;18.1;0.4;2.9;;;;;26.08.2010
2001239;2010;8;27;13.65;24.2;18.1;4.6;3.1;;;;;27.08.2010
2001240;2010;8;28;21.89;22.1;11.4;0.0;3.7;;;;;28.08.2010
2001241;2010;8;29;17.12;21.6;8.6;0.0;3.4;;;;;29.08.2010
2001242;2010;8;30;19.47;19.3;6.4;0.0;3.2;;;;;30.08.2010
2001243;2010;8;31;22.73;21.1;7.3;0.0;3.4;;;;;31.08.2010
2001244;2010;9;1;22.04;22.8;8.8;0.0;3.9;;;;;01.09.2010
2001245;2010;9;2;22.02;25.1;11.4;0.0;4.0;;;;;02.09.2010
2001246;2010;9;3;21.95;25.7;11.4;0.0;3.8;;;;;03.09.2010
2001247;2010;9;4;18.99;24.1;9.6;0.0;3.3;;;;;04.09.2010
2001248;2010;9;5;18.09;25.7;8.7;0.0;3.5;;;;;05.09.2010
2001249;2010;9;6;8.91;24.4;14.8;2.6;2.6;;;;;06.09.2010
2001250;2010;9;7;11.59;21.7;11.7;8.0;2.0;;;;;07.09.2010
2001251;2010;9;8;7.49;19.8;12.8;25.0;1.6;;;;;08.09.2010
2001252;2010;9;9;16.93;20.2;10.4;0.6;2.4;;;;;09.09.2010
2001253;2010;9;10;19.02;22.5;9.3;0.0;2.7;;;;;10.09.2010
2001254;2010;9;11;18.99;25.4;10.6;0.0;2.9;;;;;11.09.2010
2001255;2010;9;12;12.71;22.0;13.8;0.8;2.3;;;;;12.09.2010
2001256;2010;9;13;18.94;21.4;7.2;0.0;2.5;;;;;13.09.2010
2001257;2010;9;14;18.66;23.6;11.4;0.0;3.2;;;;;14.09.2010
2001258;2010;9;15;5.27;17.0;12.1;3.6;1.2;;;;;15.09.2010
2001259;2010;9;16;13.11;18.5;8.2;0.0;2.0;;;;;16.09.2010
2001260;2010;9;17;15.38;19.4;7.0;0.0;2.2;;;;;17.09.2010
2001261;2010;9;18;15.21;17.3;4.0;0.0;1.9;;;;;18.09.2010
2001262;2010;9;19;18.69;20.2;3.6;0.0;2.2;;;;;19.09.2010
2001263;2010;9;20;18.46;22.2;4.1;0.0;2.3;;;;;20.09.2010
2001264;2010;9;21;17.35;23.8;7.9;0.0;2.5;;;;;21.09.2010
2001265;2010;9;22;17.42;27.1;6.1;0.0;2.5;;;;;22.09.2010
2001266;2010;9;23;10.35;23.6;12.3;13.4;2.1;;;;;23.09.2010
2001267;2010;9;24;9.86;17.1;12.2;1.0;1.7;;;;;24.09.2010
2001268;2010;9;25;10.03;14.4;10.6;0.0;1.6;;;;;25.09.2010
2001269;2010;9;26;10.08;14.3;3.2;7.0;1.5;;;;;26.09.2010
2001270;2010;9;27;12.38;15.8;8.7;0.0;1.5;;;;;27.09.2010
2001271;2010;9;28;9.94;17.8;8.5;0.0;1.3;;;;;28.09.2010
2001272;2010;9;29;12.04;18.7;10.0;0.6;1.6;;;;;29.09.2010
2001273;2010;9;30;9.79;16.7;12.2;0.6;1.3;;;;;30.09.2010
2001274;2010;10;1;8.62;18.0;6.9;6.4;1.3;;;;;01.10.2010
2001275;2010;10;2;9.47;22.1;13.2;0.0;1.8;;;;;02.10.2010
2001276;2010;10;3;8.35;23.1;11.9;8.8;1.7;;;;;03.10.2010
2001277;2010;10;4;2.18;16.9;14.8;36.8;0.5;;;;;04.10.2010
2001278;2010;10;5;3.16;16.2;10.5;0.8;0.7;;;;;05.10.2010
2001279;2010;10;6;5.40;18.5;13.6;0.0;1.0;;;;;06.10.2010
2001280;2010;10;7;12.78;22.5;13.8;0.0;1.6;;;;;07.10.2010
2001281;2010;10;8;13.27;24.1;11.8;0.0;1.7;;;;;08.10.2010
2001282;2010;10;9;12.73;24.1;11.8;0.0;1.6;;;;;09.10.2010
2001283;2010;10;10;12.44;19.1;12.9;0.2;1.3;;;;;10.10.2010
2001284;2010;10;11;14.08;17.7;8.4;0.0;1.7;;;;;11.10.2010
2001285;2010;10;12;13.65;18.3;6.6;0.0;1.4;;;;;12.10.2010
2001286;2010;10;13;13.28;14.6;4.7;0.0;1.1;;;;;13.10.2010
2001287;2010;10;14;11.71;14.2;3.6;0.2;0.9;;;;;14.10.2010
2001288;2010;10;15;3.58;11.4;4.7;3.2;0.7;;;;;15.10.2010
2001289;2010;10;16;8.50;13.8;8.7;0.0;0.9;;;;;16.10.2010
2001290;2010;10;17;5.89;8.1;2.9;0.2;0.7;;;;;17.10.2010
2001291;2010;10;18;12.09;12.7;-0.5;0.0;0.8;;;;;18.10.2010
2001292;2010;10;19;6.78;13.3;7.4;0.8;0.8;;;;;19.10.2010
2001293;2010;10;20;10.04;11.7;2.7;0.2;0.7;;;;;20.10.2010
2001294;2010;10;21;12.13;10.7;-2.7;0.0;0.5;;;;;21.10.2010
2001295;2010;10;22;10.39;11.6;-1.0;0.0;0.6;;;;;22.10.2010
2001296;2010;10;23;3.68;12.2;-0.5;2.8;0.6;;;;;23.10.2010
2001297;2010;10;24;7.83;12.3;2.0;1.2;0.4;;;;;24.10.2010
2001298;2010;10;25;10.58;11.6;2.3;0.0;0.5;;;;;25.10.2010
2001299;2010;10;26;10.72;12.1;-2.7;0.2;0.4;;;;;26.10.2010
2001300;2010;10;27;9.26;13.9;1.5;1.6;0.6;;;;;27.10.2010
2001301;2010;10;28;4.85;11.5;6.9;0.0;0.4;;;;;28.10.2010
2001302;2010;10;29;6.24;16.5;4.4;4.0;0.8;;;;;29.10.2010
2001303;2010;10;30;5.36;14.0;9.1;0.8;0.6;;;;;30.10.2010
2001304;2010;10;31;6.94;16.2;8.1;0.2;0.5;;;;;31.10.2010
2001305;2010;11;1;8.82;14.1;7.5;0.2;0.4;;;;;01.11.2010
2001306;2010;11;2;3.65;13.2;2.9;0.4;0.3;;;;;02.11.2010
2001307;2010;11;3;4.72;15.5;11.0;0.2;0.6;;;;;03.11.2010
2001308;2010;11;4;4.28;16.9;13.3;0.2;0.7;;;;;04.11.2010
2001309;2010;11;5;6.12;16.2;11.6;0.0;0.7;;;;;05.11.2010
2001310;2010;11;6;4.12;14.5;8.9;13.4;0.5;;;;;06.11.2010
2001311;2010;11;7;3.28;8.3;5.1;0.8;0.3;;;;;07.11.2010
2001312;2010;11;8;1.63;9.1;1.5;15.4;0.2;;;;;08.11.2010
2001313;2010;11;9;4.38;11.0;5.7;1.4;0.3;;;;;09.11.2010
2001314;2010;11;10;4.66;9.4;4.4;0.0;0.2;;;;;10.11.2010
2001315;2010;11;11;1.53;14.7;0.4;6.6;0.3;;;;;11.11.2010
2001316;2010;11;12;2.74;15.0;10.9;2.2;1.0;;;;;12.11.2010
2001317;2010;11;13;3.06;16.3;13.3;0.8;1.3;;;;;13.11.2010
2001318;2010;11;14;1.88;12.9;10.1;3.4;0.7;;;;;14.11.2010
2001319;2010;11;15;3.41;11.5;5.1;0.4;0.2;;;;;15.11.2010
2001320;2010;11;16;5.07;8.5;2.8;0.2;0.0;;;;;16.11.2010
2001321;2010;11;17;2.40;6.1;0.6;2.6;0.2;;;;;17.11.2010
2001322;2010;11;18;2.39;8.9;4.6;0.4;0.2;;;;;18.11.2010
2001323;2010;11;19;2.29;7.5;1.1;0.0;0.1;;;;;19.11.2010
2001324;2010;11;20;4.11;9.7;4.5;0.6;0.1;;;;;20.11.2010
2001325;2010;11;21;1.00;7.5;5.5;2.2;0.0;;;;;21.11.2010
