*WEATHER;DATA;:;;;;;;;;;;;Latitude = 47.904167 § Longitude = 1.521944 § Altitude = 129
;;;;Rg joules;Tmax;Tmin;Pluie;ETP;;;;;
@;INSI;LAT;LONG;ELEV;TAV;AMP;REFHT;;WNDHT;;;;
;ARBA;;;MJ/m²;°C;°C;mm;mm;;;;;
@DATE;YYYY;MM;DD;SRAD;TMAX;TMIN;RAIN;ET0;WIND;DEWP;VPRS;RHUM;
2001001;2010;1;1;0.51;1.0;-0.4;0.0;0.1;;;;;01.01.2010
2001002;2010;1;2;5.27;3.1;-4.1;0.0;0.3;;;;;02.01.2010
2001003;2010;1;3;3.13;3.8;-2.1;0.0;0.6;;;;;03.01.2010
2001004;2010;1;4;3.11;-2.4;-5.7;0.0;0.4;;;;;04.01.2010
2001005;2010;1;5;4.92;-1.1;-7.3;0.0;0.3;;;;;05.01.2010
2001006;2010;1;6;1.39;-0.7;-5.3;1.8;0.1;;;;;06.01.2010
2001007;2010;1;7;4.20;-1.8;-12.8;0.2;0.0;;;;;07.01.2010
2001008;2010;1;8;5.07;-3.8;-13.9;0.0;0.0;;;;;08.01.2010
2001009;2010;1;9;2.58;-1.7;-5.1;0.6;0.1;;;;;09.01.2010
2001010;2010;1;10;1.58;-0.9;-3.1;0.2;0.1;;;;;10.01.2010
2001011;2010;1;11;2.56;0.1;-2.0;0.0;0.0;;;;;11.01.2010
2001012;2010;1;12;2.78;0.9;-7.1;2.0;0.1;;;;;12.01.2010
2001013;2010;1;13;5.18;5.5;-2.6;3.4;0.0;;;;;13.01.2010
2001014;2010;1;14;5.61;5.0;1.0;0.0;0.0;;;;;14.01.2010
2001015;2010;1;15;2.28;3.6;-1.2;0.0;0.0;;;;;15.01.2010
2001016;2010;1;16;0.71;9.6;0.5;7.0;0.0;;;;;16.01.2010
2001017;2010;1;17;6.07;10.3;3.2;0.0;0.0;;;;;17.01.2010
2001018;2010;1;18;3.86;7.9;1.5;0.0;0.0;;;;;18.01.2010
2001019;2010;1;19;3.27;3.4;0.9;2.0;0.0;;;;;19.01.2010
2001020;2010;1;20;3.85;8.7;-0.6;2.0;0.0;;;;;20.01.2010
2001021;2010;1;21;2.89;4.1;0.5;0.0;0.0;;;;;21.01.2010
2001022;2010;1;22;4.61;8.3;1.4;0.6;0.0;;;;;22.01.2010
2001023;2010;1;23;2.50;4.9;3.2;1.2;0.2;;;;;23.01.2010
2001024;2010;1;24;1.05;5.5;3.4;3.4;0.1;;;;;24.01.2010
2001025;2010;1;25;4.97;5.5;-0.6;0.0;0.0;;;;;25.01.2010
2001026;2010;1;26;0.81;0.2;-1.0;0.0;0.2;;;;;26.01.2010
2001027;2010;1;27;6.96;0.9;-5.2;0.6;0.1;;;;;27.01.2010
2001028;2010;1;28;4.72;6.3;-1.0;0.0;0.1;;;;;28.01.2010
2001029;2010;1;29;1.98;7.6;2.4;4.0;0.3;;;;;29.01.2010
2001030;2010;1;30;6.49;3.1;-0.7;0.6;0.1;;;;;30.01.2010
2001031;2010;1;31;9.73;2.7;-4.8;0.2;0.0;;;;;31.01.2010
2001032;2010;2;1;4.25;3.4;-2.4;0.0;0.1;;;;;01.02.2010
2001033;2010;2;2;3.53;7.2;-0.9;0.4;0.3;;;;;02.02.2010
2001034;2010;2;3;2.30;8.6;6.0;0.8;0.4;;;;;03.02.2010
2001035;2010;2;4;5.65;8.3;0.1;4.2;0.3;;;;;04.02.2010
2001036;2010;2;5;6.71;11.2;4.3;1.8;0.4;;;;;05.02.2010
2001037;2010;2;6;6.31;10.3;4.3;0.0;0.3;;;;;06.02.2010
2001038;2010;2;7;1.81;4.6;2.9;0.0;0.2;;;;;07.02.2010
2001039;2010;2;8;1.85;3.7;1.7;0.2;0.2;;;;;08.02.2010
2001040;2010;2;9;1.68;0.3;-1.6;0.0;0.3;;;;;09.02.2010
2001041;2010;2;10;6.11;3.3;-4.8;0.4;0.3;;;;;10.02.2010
2001042;2010;2;11;5.16;-1.7;-4.9;0.0;0.4;;;;;11.02.2010
2001043;2010;2;12;4.03;-0.9;-3.8;0.0;0.4;;;;;12.02.2010
2001044;2010;2;13;4.78;-1.7;-4.3;0.0;0.4;;;;;13.02.2010
2001045;2010;2;14;5.94;0.0;-3.2;0.0;0.3;;;;;14.02.2010
2001046;2010;2;15;9.37;2.8;-6.3;0.0;0.3;;;;;15.02.2010
2001047;2010;2;16;11.30;4.5;-7.4;0.0;0.5;;;;;16.02.2010
2001048;2010;2;17;2.54;3.8;-0.7;0.8;0.2;;;;;17.02.2010
2001049;2010;2;18;8.21;9.9;-0.1;3.4;0.4;;;;;18.02.2010
2001050;2010;2;19;10.67;7.4;0.9;0.6;0.5;;;;;19.02.2010
2001051;2010;2;20;7.25;5.8;-0.9;1.2;0.4;;;;;20.02.2010
2001052;2010;2;21;6.49;9.4;0.3;1.4;0.5;;;;;21.02.2010
2001053;2010;2;22;8.61;14.7;5.0;1.0;1.3;;;;;22.02.2010
2001054;2010;2;23;7.05;13.1;8.3;2.0;0.9;;;;;23.02.2010
2001055;2010;2;24;6.06;11.5;5.1;6.0;1.0;;;;;24.02.2010
2001056;2010;2;25;5.40;14.0;6.2;10.8;1.0;;;;;25.02.2010
2001057;2010;2;26;9.85;10.7;5.5;0.8;1.7;;;;;26.02.2010
2001058;2010;2;27;8.00;14.7;2.3;11.4;0.9;;;;;27.02.2010
2001059;2010;2;28;7.25;11.0;5.4;2.2;1.8;;;;;28.02.2010
2001060;2010;3;1;8.47;10.2;-0.5;2.6;0.6;;;;;01.03.2010
2001061;2010;3;2;8.25;10.9;5.1;0.0;0.7;;;;;02.03.2010
2001062;2010;3;3;10.26;8.9;0.8;0.0;1.1;;;;;03.03.2010
2001063;2010;3;4;13.13;8.7;1.0;0.0;1.4;;;;;04.03.2010
2001064;2010;3;5;14.26;5.9;-2.3;0.0;0.9;;;;;05.03.2010
2001065;2010;3;6;9.90;7.7;-2.8;0.0;0.9;;;;;06.03.2010
2001066;2010;3;7;14.89;3.3;-4.1;0.0;1.4;;;;;07.03.2010
2001067;2010;3;8;16.60;6.3;-4.0;0.0;1.8;;;;;08.03.2010
2001068;2010;3;9;16.03;4.3;-3.3;0.0;1.6;;;;;09.03.2010
2001069;2010;3;10;11.85;6.6;-2.2;0.0;1.7;;;;;10.03.2010
2001070;2010;3;11;13.54;6.9;-3.4;0.0;1.3;;;;;11.03.2010
2001071;2010;3;12;7.83;6.0;-3.1;0.0;0.9;;;;;12.03.2010
2001072;2010;3;13;5.42;7.6;-0.5;0.0;0.9;;;;;13.03.2010
2001073;2010;3;14;6.06;8.7;2.5;0.0;1.1;;;;;14.03.2010
2001074;2010;3;15;17.09;13.0;-1.0;0.0;1.6;;;;;15.03.2010
2001075;2010;3;16;16.89;14.5;-1.8;0.0;1.4;;;;;16.03.2010
2001076;2010;3;17;15.70;18.1;0.9;0.0;2.0;;;;;17.03.2010
2001077;2010;3;18;13.04;20.3;3.0;0.0;3.0;;;;;18.03.2010
2001078;2010;3;19;11.58;19.9;9.2;5.4;2.7;;;;;19.03.2010
2001079;2010;3;20;6.68;15.9;10.7;3.2;1.3;;;;;20.03.2010
2001080;2010;3;21;13.36;13.3;7.6;0.2;1.8;;;;;21.03.2010
2001081;2010;3;22;17.87;16.3;1.3;0.2;1.7;;;;;22.03.2010
2001082;2010;3;23;16.80;16.7;1.6;0.0;1.7;;;;;23.03.2010
2001083;2010;3;24;11.22;18.3;5.0;0.0;2.1;;;;;24.03.2010
2001084;2010;3;25;9.32;17.9;8.5;2.8;1.9;;;;;25.03.2010
2001085;2010;3;26;9.46;11.9;5.8;12.6;1.5;;;;;26.03.2010
2001086;2010;3;27;11.14;13.7;5.9;7.6;1.7;;;;;27.03.2010
2001087;2010;3;28;5.85;13.9;7.9;2.8;1.1;;;;;28.03.2010
2001088;2010;3;29;13.88;18.5;9.2;4.4;2.1;;;;;29.03.2010
2001089;2010;3;30;10.60;12.0;6.0;1.2;1.9;;;;;30.03.2010
2001090;2010;3;31;14.91;11.8;4.8;0.4;2.3;;;;;31.03.2010
2001091;2010;4;1;17.71;11.5;0.1;1.0;2.0;;;;;01.04.2010
2001092;2010;4;2;10.46;11.5;2.8;4.6;1.6;;;;;02.04.2010
