*WEATHER;DATA;:;;;;;;;;;;;Latitude = 48.325278 § Longitude = 2.380556 § Altitude = 109
;;;;Rg joules;Tmax;Tmin;Pluie;ETP;;;;;
@;INSI;LAT;LONG;ELEV;TAV;AMP;REFHT;;WNDHT;;;;
;ARBA;;;MJ/m²;°C;°C;mm;mm;;;;;
@DATE;YYYY;MM;DD;SRAD;TMAX;TMIN;RAIN;ET0;WIND;DEWP;VPRS;RHUM;
2001001;2011;1;1;1.23;2.2;-1.7;0.2;0.1;;;;;01.01.2011
2001002;2011;1;2;2.25;3.8;0.4;0.0;0.1;;;;;02.01.2011
2001003;2011;1;3;2.92;2.0;-1.8;0.2;0.0;;;;;03.01.2011
2001004;2011;1;4;1.59;-0.5;-2.3;0.0;0.0;;;;;04.01.2011
2001005;2011;1;5;2.37;9.6;-2.8;7.0;0.5;;;;;05.01.2011
2001006;2011;1;6;0.94;12.2;2.1;4.2;0.0;;;;;06.01.2011
2001007;2011;1;7;1.61;11.9;9.6;6.0;0.3;;;;;07.01.2011
2001008;2011;1;8;3.49;12.7;9.9;7.8;0.7;;;;;08.01.2011
2001009;2011;1;9;3.03;8.2;3.3;0.4;0.1;;;;;09.01.2011
2001010;2011;1;10;5.01;6.8;0.3;3.4;0.0;;;;;10.01.2011
2001011;2011;1;11;2.83;10.2;0.0;2.6;0.0;;;;;11.01.2011
2001012;2011;1;12;0.95;11.4;4.8;1.8;0.2;;;;;12.01.2011
2001013;2011;1;13;2.75;13.5;10.7;0.2;0.5;;;;;13.01.2011
2001014;2011;1;14;1.82;12.3;9.1;1.6;0.8;;;;;14.01.2011
2001015;2011;1;15;4.46;10.8;7.0;0.2;0.3;;;;;15.01.2011
2001016;2011;1;16;5.90;11.8;2.4;0.4;0.0;;;;;16.01.2011
2001017;2011;1;17;2.49;9.7;1.4;0.0;0.0;;;;;17.01.2011
2001018;2011;1;18;1.94;8.6;6.4;0.2;0.5;;;;;18.01.2011
2001019;2011;1;19;3.67;5.6;-0.7;0.2;0.0;;;;;19.01.2011
2001020;2011;1;20;4.69;5.1;0.8;0.2;0.3;;;;;20.01.2011
2001021;2011;1;21;4.07;0.8;-1.3;0.0;0.2;;;;;21.01.2011
2001022;2011;1;22;1.62;4.2;-2.1;0.2;0.0;;;;;22.01.2011
2001023;2011;1;23;2.73;5.7;1.1;0.0;0.3;;;;;23.01.2011
2001024;2011;1;24;2.62;5.6;4.0;0.4;0.3;;;;;24.01.2011
2001025;2011;1;25;4.84;6.6;1.5;0.4;0.0;;;;;25.01.2011
2001026;2011;1;26;1.42;4.0;2.2;4.2;0.1;;;;;26.01.2011
2001027;2011;1;27;1.86;3.8;1.8;0.0;0.4;;;;;27.01.2011
2001028;2011;1;28;1.31;1.0;-0.5;0.0;0.4;;;;;28.01.2011
2001029;2011;1;29;5.41;1.1;-2.5;0.0;0.2;;;;;29.01.2011
2001030;2011;1;30;5.66;0.3;-4.1;0.0;0.1;;;;;30.01.2011
2001031;2011;1;31;4.30;-0.3;-5.1;0.0;0.1;;;;;31.01.2011
2001032;2011;2;1;1.90;-1.4;-4.7;0.0;0.1;;;;;01.02.2011
2001033;2011;2;2;2.82;3.1;-2.8;1.8;0.1;;;;;02.02.2011
2001034;2011;2;3;2.46;7.4;0.7;1.2;0.0;;;;;03.02.2011
2001035;2011;2;4;2.60;9.8;3.9;0.0;0.4;;;;;04.02.2011
2001036;2011;2;5;2.54;10.1;8.2;0.0;0.9;;;;;05.02.2011
2001037;2011;2;6;4.04;8.8;4.0;0.0;0.5;;;;;06.02.2011
2001038;2011;2;7;9.02;12.4;-2.2;0.4;0.2;;;;;07.02.2011
2001039;2011;2;8;1.93;8.6;4.6;0.0;0.1;;;;;08.02.2011
2001040;2011;2;9;3.99;8.4;5.7;0.2;0.5;;;;;09.02.2011
2001041;2011;2;10;4.54;14.9;0.4;0.0;0.5;;;;;10.02.2011
2001042;2011;2;11;8.91;16.9;7.0;0.0;1.1;;;;;11.02.2011
2001043;2011;2;12;3.64;10.1;3.5;2.0;0.4;;;;;12.02.2011
2001044;2011;2;13;4.70;9.6;2.8;0.0;0.6;;;;;13.02.2011
2001045;2011;2;14;4.01;9.0;5.1;1.4;0.6;;;;;14.02.2011
2001046;2011;2;15;3.38;10.0;2.1;2.0;0.7;;;;;15.02.2011
2001047;2011;2;16;9.17;11.1;0.0;0.0;0.5;;;;;16.02.2011
2001048;2011;2;17;5.45;8.5;1.3;0.2;0.6;;;;;17.02.2011
2001049;2011;2;18;2.46;3.9;-1.6;0.0;0.1;;;;;18.02.2011
2001050;2011;2;19;2.97;7.5;0.0;4.8;0.2;;;;;19.02.2011
2001051;2011;2;20;2.59;7.7;5.6;0.0;0.5;;;;;20.02.2011
2001052;2011;2;21;3.40;8.2;1.2;2.0;0.3;;;;;21.02.2011
2001053;2011;2;22;8.37;7.2;2.4;0.0;0.8;;;;;22.02.2011
2001054;2011;2;23;3.77;7.4;-0.7;6.8;0.6;;;;;23.02.2011
2001055;2011;2;24;2.92;11.6;4.1;0.0;0.2;;;;;24.02.2011
2001056;2011;2;25;7.50;11.8;4.6;0.0;0.6;;;;;25.02.2011
2001057;2011;2;26;4.03;12.1;6.5;7.8;1.0;;;;;26.02.2011
2001058;2011;2;27;8.44;9.5;3.2;0.0;1.1;;;;;27.02.2011
2001059;2011;2;28;5.98;7.0;-0.5;0.2;0.6;;;;;28.02.2011
2001060;2011;3;1;10.49;8.7;1.5;0.0;1.2;;;;;01.03.2011
2001061;2011;3;2;12.24;9.6;1.5;0.0;1.8;;;;;02.03.2011
2001062;2011;3;3;12.81;8.3;0.2;0.0;1.7;;;;;03.03.2011
2001063;2011;3;4;12.73;9.7;-1.2;0.0;1.1;;;;;04.03.2011
2001064;2011;3;5;12.63;10.6;-1.8;0.0;1.2;;;;;05.03.2011
2001065;2011;3;6;13.99;8.3;-0.4;0.0;1.5;;;;;06.03.2011
2001066;2011;3;7;14.32;9.1;-1.0;0.0;1.7;;;;;07.03.2011
2001067;2011;3;8;13.62;16.1;-2.3;0.0;1.5;;;;;08.03.2011
2001068;2011;3;9;10.96;12.5;5.0;0.0;1.8;;;;;09.03.2011
2001069;2011;3;10;8.90;11.4;0.7;0.2;1.2;;;;;10.03.2011
2001070;2011;3;11;7.10;13.5;6.4;0.4;1.4;;;;;11.03.2011
2001071;2011;3;12;6.99;15.0;2.4;0.4;1.5;;;;;12.03.2011
2001072;2011;3;13;3.72;11.6;7.7;0.4;0.8;;;;;13.03.2011
2001073;2011;3;14;11.98;15.5;4.3;0.0;1.4;;;;;14.03.2011
2001074;2011;3;15;11.96;20.3;6.6;0.0;2.3;;;;;15.03.2011
2001075;2011;3;16;13.26;17.0;8.6;0.0;2.4;;;;;16.03.2011
2001076;2011;3;17;3.44;9.2;7.3;0.0;1.1;;;;;17.03.2011
2001077;2011;3;18;6.91;12.1;4.1;6.2;1.0;;;;;18.03.2011
2001078;2011;3;19;4.19;9.3;5.5;0.0;1.0;;;;;19.03.2011
2001079;2011;3;20;14.72;11.8;0.2;0.0;1.7;;;;;20.03.2011
2001080;2011;3;21;17.62;14.6;-1.9;0.0;2.2;;;;;21.03.2011
2001081;2011;3;22;17.20;16.1;2.3;0.0;2.6;;;;;22.03.2011
2001082;2011;3;23;17.23;19.1;3.9;0.0;3.0;;;;;23.03.2011
2001083;2011;3;24;17.23;19.5;4.2;0.0;2.6;;;;;24.03.2011
2001084;2011;3;25;17.07;20.8;2.8;0.0;2.5;;;;;25.03.2011
2001085;2011;3;26;12.29;19.3;4.9;0.0;2.0;;;;;26.03.2011
2001086;2011;3;27;9.31;17.5;8.9;2.0;1.8;;;;;27.03.2011
2001087;2011;3;28;17.24;17.8;6.8;0.0;2.6;;;;;28.03.2011
2001088;2011;3;29;12.11;15.8;5.1;4.6;1.6;;;;;29.03.2011
2001089;2011;3;30;8.30;14.5;8.8;8.4;1.8;;;;;30.03.2011
2001090;2011;3;31;5.71;15.2;9.0;0.8;1.0;;;;;31.03.2011
2001091;2011;4;1;5.99;15.2;11.4;0.4;1.3;;;;;01.04.2011
2001092;2011;4;2;17.06;24.2;7.6;2.6;2.8;;;;;02.04.2011
2001093;2011;4;3;3.46;11.4;9.8;1.0;0.7;;;;;03.04.2011
