iso-date,tmin,tmax,tavg,globrad,precip,wind,relhumid
2009-1-1,-1.0,1.88,0.44,1.848,0.0,0.0,80.0
2009-1-2,-1.41,1.98,0.29,4.746,0.0,0.0,80.0
2009-1-3,-2.31,0.69,-0.81,4.885,0.0,0.0,80.0
2009-1-4,-7.32,1.05,-3.14,6.3,0.0,0.0,80.0
2009-1-5,-5.88,5.23,-0.32,2.303,0.4,0.0,80.0
2009-1-6,-1.82,0.31,-0.76,5.227,0.0,0.0,80.0
2009-1-7,-7.97,2.81,-2.58,5.242,0.0,0.0,80.0
2009-1-8,0.21,5.05,2.63,4.176,0.0,0.0,80.0
2009-1-9,-6.47,2.37,-2.05,6.512,0.0,0.0,80.0
2009-1-10,-7.01,6.08,-0.46,6.652,0.2,0.0,80.0
2009-1-11,-6.64,7.69,0.53,2.578,0.2,0.0,80.0
2009-1-12,5.99,9.26,7.63,1.586,18.6,0.0,80.0
2009-1-13,5.6,11.91,8.75,4.654,0.6,0.0,80.0
2009-1-14,0.03,9.72,4.88,3.108,1.0,0.0,80.0
2009-1-15,4.78,8.66,6.72,4.452,0.2,0.0,80.0
2009-1-16,5.52,11.26,8.39,3.574,3.0,0.0,80.0
2009-1-17,7.85,11.11,9.48,4.041,12.0,0.0,80.0
2009-1-18,5.29,11.32,8.3,4.416,24.6,0.0,80.0
2009-1-19,3.99,9.74,6.87,3.058,8.6,0.0,80.0
2009-1-20,1.3,7.33,4.32,4.999,1.6,0.0,80.0
2009-1-21,-0.33,11.25,5.46,4.803,31.8,0.0,80.0
2009-1-22,6.29,12.0,9.14,2.052,14.8,0.0,80.0
2009-1-23,6.69,11.29,8.99,5.581,20.2,0.0,80.0
2009-1-24,1.41,9.52,5.46,5.466,9.0,0.0,80.0
2009-1-25,4.2,7.19,5.7,2.164,5.4,0.0,80.0
2009-1-26,0.68,8.72,4.7,4.956,2.0,0.0,80.0
2009-1-27,0.41,9.95,5.18,3.296,2.4,0.0,80.0
2009-1-28,6.02,6.7,6.36,1.56,2.4,0.0,80.0
2009-1-29,3.53,7.19,5.36,3.344,0.4,0.0,80.0
2009-1-30,3.66,8.04,5.85,5.789,0.0,0.0,80.0
2009-1-31,2.08,7.07,4.58,3.897,0.0,0.0,80.0
2009-2-1,0.38,3.48,1.93,8.352,0.0,0.0,80.0
2009-2-2,-2.7,3.07,0.18,6.649,0.0,0.0,80.0
2009-2-3,-4.09,5.71,0.81,6.92,3.2,0.0,80.0
2009-2-4,0.8,8.1,4.45,2.158,12.0,0.0,80.0
2009-2-5,2.59,10.11,6.35,6.026,5.0,0.0,80.0
2009-2-6,3.61,7.14,5.38,3.119,1.8,0.0,80.0
2009-2-7,0.63,7.76,4.2,7.559,1.0,0.0,80.0
2009-2-8,-0.6,6.46,2.93,3.833,2.4,0.0,80.0
2009-2-9,4.03,11.93,7.98,1.628,30.8,0.0,80.0
2009-2-10,4.41,9.84,7.13,8.324,0.4,0.0,80.0
2009-2-11,2.98,10.04,6.51,6.016,0.2,0.0,80.0
2009-2-12,2.1,7.78,4.94,9.438,0.2,0.0,80.0
2009-2-13,-0.71,11.95,5.62,6.554,0.0,0.0,80.0
2009-2-14,-1.99,8.07,3.04,7.744,0.0,0.0,80.0
2009-2-15,-3.19,6.64,1.72,11.321,0.2,0.0,80.0
2009-2-16,-2.68,11.64,4.48,9.083,0.4,0.0,80.0
2009-2-17,1.29,10.25,5.77,5.379,0.0,0.0,80.0
2009-2-18,4.21,10.14,7.18,3.86,0.0,0.0,80.0
2009-2-19,5.01,9.82,7.42,4.908,0.0,0.0,80.0
2009-2-20,4.3,12.39,8.35,10.163,0.2,0.0,80.0
2009-2-21,0.97,11.33,6.15,8.163,0.0,0.0,80.0
2009-2-22,2.46,12.53,7.49,6.346,0.0,0.0,80.0
2009-2-23,4.0,9.87,6.93,5.064,0.0,0.0,80.0
2009-2-24,5.31,10.95,8.13,4.31,0.0,0.0,80.0
2009-2-25,4.78,12.38,8.58,11.768,0.2,0.0,80.0
2009-2-26,-2.27,8.68,3.21,3.265,0.2,0.0,80.0
2009-2-27,4.54,11.49,8.02,6.047,0.2,0.0,80.0
2009-2-28,0.83,15.83,8.33,13.129,0.2,0.0,80.0
2009-3-1,1.86,10.33,6.09,4.406,0.0,0.0,80.0
2009-3-2,-1.72,12.59,5.43,11.665,0.4,0.0,80.0
2009-3-3,0.54,9.13,4.84,4.587,31.0,0.0,80.0
2009-3-4,3.0,8.61,5.8,9.962,4.0,0.0,80.0
2009-3-5,1.1,7.75,4.42,7.305,2.6,0.0,80.0
2009-3-6,-1.07,10.06,4.5,9.775,0.2,0.0,80.0
2009-3-7,6.31,13.33,9.82,9.837,1.2,0.0,80.0
2009-3-8,7.63,12.45,10.04,10.522,1.2,0.0,80.0
2009-3-9,3.42,12.47,7.95,10.979,0.0,0.0,80.0
2009-3-10,6.67,14.45,10.56,9.276,1.4,0.0,80.0
2009-3-11,3.17,14.14,8.66,8.961,0.2,0.0,80.0
2009-3-12,7.08,12.79,9.93,5.885,0.2,0.0,80.0
2009-3-13,2.06,16.36,9.21,14.986,0.0,0.0,80.0
2009-3-14,7.62,12.82,10.22,7.651,0.0,0.0,80.0
2009-3-15,-0.45,13.82,6.69,15.007,0.2,0.0,80.0
2009-3-16,0.49,17.2,8.84,16.774,0.2,0.0,80.0
2009-3-17,3.65,17.78,10.71,17.277,0.0,0.0,80.0
2009-3-18,4.54,19.36,11.95,17.384,0.2,0.0,80.0
2009-3-19,4.12,18.61,11.37,17.955,0.0,0.0,80.0
2009-3-20,3.29,14.84,9.06,18.09,0.0,0.0,80.0
2009-3-21,-0.49,13.81,6.66,18.426,0.0,0.0,80.0
2009-3-22,0.85,13.72,7.29,11.103,0.2,0.0,80.0
2009-3-23,-0.92,17.31,8.19,17.313,0.2,0.0,80.0
2009-3-24,4.52,12.87,8.7,16.624,0.0,0.0,80.0
2009-3-25,2.99,12.37,7.68,9.559,0.6,0.0,80.0
2009-3-26,3.9,11.13,7.52,6.445,0.6,0.0,80.0
2009-3-27,4.51,11.73,8.12,12.609,2.0,0.0,80.0
2009-3-28,2.21,11.85,7.03,15.045,0.6,0.0,80.0
2009-3-29,-0.23,11.95,5.86,13.294,0.4,0.0,80.0
2009-3-30,-1.34,14.04,6.35,19.432,0.0,0.0,80.0
2009-3-31,-1.69,13.91,6.11,19.73,0.2,0.0,80.0
2009-4-1,0.52,15.62,8.07,19.613,0.2,0.0,80.0
2009-4-2,2.19,17.33,9.76,17.345,0.2,0.0,80.0
2009-4-3,4.86,12.65,8.76,14.878,2.2,0.0,80.0
2009-4-4,6.96,15.39,11.18,11.711,0.6,0.0,80.0
2009-4-5,1.5,15.0,8.25,18.359,0.2,0.0,80.0
2009-4-6,3.42,13.3,8.36,11.754,0.8,0.0,80.0
2009-4-7,3.81,13.53,8.67,18.161,6.0,0.0,80.0
2009-4-8,8.36,13.08,10.72,6.551,9.0,0.0,80.0
2009-4-9,10.98,14.82,12.9,11.835,6.0,0.0,80.0
2009-4-10,8.98,11.11,10.04,4.293,6.2,0.0,80.0
2009-4-11,2.61,15.13,8.87,16.985,0.0,0.0,80.0
2009-4-12,1.82,16.01,8.92,15.825,0.2,0.0,80.0
2009-4-13,1.87,13.98,7.93,18.115,0.8,0.0,80.0
2009-4-14,9.24,12.99,11.12,7.88,5.8,0.0,80.0
2009-4-15,8.79,11.52,10.15,3.838,13.2,0.0,80.0
2009-4-16,7.93,13.94,10.93,14.763,1.4,0.0,80.0
2009-4-17,3.18,15.63,9.41,17.4,0.2,0.0,80.0
2009-4-18,4.69,17.61,11.15,18.923,0.2,0.0,80.0
2009-4-19,7.13,11.92,9.53,7.255,0.0,0.0,80.0
