*WEATHER;DATA;:;;;;;;;;;;;Latitude = 47.275 § Longitude = 5.091667 § Altitude = 206
;;;;Rg joules;Tmax;Tmin;Pluie;ETP;;;;;
@;INSI;LAT;LONG;ELEV;TAV;AMP;REFHT;;WNDHT;;;;
;ARBA;;;MJ/m²;°C;°C;mm;mm;;;;;
@DATE;YYYY;MM;DD;SRAD;TMAX;TMIN;RAIN;ET0;WIND;DEWP;VPRS;RHUM;
2001001;2011;1;1;0.98;1.4;-0.7;0.0;0.2;;;;;01.01.2011
2001002;2011;1;2;2.94;3.5;-0.5;0.0;0.8;;;;;02.01.2011
2001003;2011;1;3;6.23;2.5;-3.3;0.0;0.7;;;;;03.01.2011
2001004;2011;1;4;0.97;-1.9;-4.4;0.0;0.2;;;;;04.01.2011
2001005;2011;1;5;3.90;7.0;-5.6;0.6;0.5;;;;;05.01.2011
2001006;2011;1;6;1.31;10.0;0.5;6.8;0.0;;;;;06.01.2011
2001007;2011;1;7;1.65;13.5;8.3;3.2;0.7;;;;;07.01.2011
2001008;2011;1;8;2.76;14.1;8.5;1.2;1.2;;;;;08.01.2011
2001009;2011;1;9;0.65;9.7;5.4;12.9;0.5;;;;;09.01.2011
2001010;2011;1;10;5.05;6.6;-1.4;0.0;0.4;;;;;10.01.2011
2001011;2011;1;11;1.36;7.1;0.7;3.2;0.2;;;;;11.01.2011
2001012;2011;1;12;1.34;9.7;4.2;1.2;0.8;;;;;12.01.2011
2001013;2011;1;13;0.98;10.8;6.0;0.0;0.0;;;;;13.01.2011
2001014;2011;1;14;2.99;12.7;8.0;0.0;1.0;;;;;14.01.2011
2001015;2011;1;15;6.43;13.9;5.2;0.0;1.1;;;;;15.01.2011
2001016;2011;1;16;2.96;3.5;-2.0;0.0;0.1;;;;;16.01.2011
2001017;2011;1;17;3.02;5.3;-1.5;0.0;0.2;;;;;17.01.2011
2001018;2011;1;18;3.10;9.1;0.5;0.4;0.3;;;;;18.01.2011
2001019;2011;1;19;4.96;6.0;1.3;0.0;1.1;;;;;19.01.2011
2001020;2011;1;20;4.34;4.4;-0.5;0.0;0.8;;;;;20.01.2011
2001021;2011;1;21;7.32;2.7;-1.5;0.0;1.3;;;;;21.01.2011
2001022;2011;1;22;4.71;1.3;-3.3;0.0;1.2;;;;;22.01.2011
2001023;2011;1;23;7.68;3.2;-7.1;0.0;0.8;;;;;23.01.2011
2001024;2011;1;24;2.07;2.8;-3.0;0.0;0.2;;;;;24.01.2011
2001025;2011;1;25;5.13;7.8;0.9;0.0;1.0;;;;;25.01.2011
2001026;2011;1;26;3.13;4.4;1.7;2.0;0.5;;;;;26.01.2011
2001027;2011;1;27;4.03;5.2;0.5;0.0;0.8;;;;;27.01.2011
2001028;2011;1;28;3.24;4.4;0.3;0.0;0.8;;;;;28.01.2011
2001029;2011;1;29;8.43;3.3;-2.8;0.0;0.9;;;;;29.01.2011
2001030;2011;1;30;1.85;-0.7;-3.2;0.0;0.5;;;;;30.01.2011
2001031;2011;1;31;1.40;-1.1;-6.2;0.0;0.2;;;;;31.01.2011
2001032;2011;2;1;2.31;-0.8;-2.2;0.0;0.6;;;;;01.02.2011
2001033;2011;2;2;3.52;1.6;-3.6;0.0;0.5;;;;;02.02.2011
2001034;2011;2;3;2.06;2.9;-0.3;0.8;0.2;;;;;03.02.2011
2001035;2011;2;4;3.59;8.6;1.7;0.0;0.4;;;;;04.02.2011
2001036;2011;2;5;7.35;13.0;6.7;0.0;1.7;;;;;05.02.2011
2001037;2011;2;6;3.59;5.0;-2.9;0.0;0.6;;;;;06.02.2011
2001038;2011;2;7;5.44;5.6;0.0;0.0;0.6;;;;;07.02.2011
2001039;2011;2;8;8.26;7.8;-5.9;0.0;0.4;;;;;08.02.2011
2001040;2011;2;9;1.77;3.6;1.2;0.0;0.1;;;;;09.02.2011
2001041;2011;2;10;4.52;7.1;-0.2;0.0;0.6;;;;;10.02.2011
2001042;2011;2;11;7.82;9.0;-2.3;0.0;0.5;;;;;11.02.2011
2001043;2011;2;12;5.47;8.2;-4.1;0.2;0.8;;;;;12.02.2011
2001044;2011;2;13;7.40;9.7;-2.2;0.0;0.6;;;;;13.02.2011
2001045;2011;2;14;1.54;7.2;-0.2;5.0;0.0;;;;;14.02.2011
2001046;2011;2;15;3.94;9.2;2.1;1.2;0.5;;;;;15.02.2011
2001047;2011;2;16;9.56;12.3;-0.3;0.0;0.9;;;;;16.02.2011
2001048;2011;2;17;3.60;6.1;-0.9;0.0;0.4;;;;;17.02.2011
2001049;2011;2;18;2.38;5.5;2.5;0.0;0.6;;;;;18.02.2011
2001050;2011;2;19;4.36;4.9;2.2;3.0;0.7;;;;;19.02.2011
2001051;2011;2;20;1.50;7.3;3.4;0.0;0.5;;;;;20.02.2011
2001052;2011;2;21;7.71;10.0;3.3;0.6;1.1;;;;;21.02.2011
2001053;2011;2;22;2.93;4.1;1.8;0.2;0.7;;;;;22.02.2011
2001054;2011;2;23;9.19;5.1;-3.4;4.2;0.8;;;;;23.02.2011
2001055;2011;2;24;2.97;6.5;2.1;2.4;0.2;;;;;24.02.2011
2001056;2011;2;25;5.20;12.1;5.8;0.4;1.0;;;;;25.02.2011
2001057;2011;2;26;3.53;9.2;4.5;4.6;0.6;;;;;26.02.2011
2001058;2011;2;27;4.55;7.8;5.2;1.0;1.3;;;;;27.02.2011
2001059;2011;2;28;10.24;8.6;0.5;0.0;1.4;;;;;28.02.2011
2001060;2011;3;1;9.03;11.6;4.4;0.0;2.4;;;;;01.03.2011
2001061;2011;3;2;13.55;10.4;0.4;0.0;2.6;;;;;02.03.2011
2001062;2011;3;3;11.57;7.2;-1.8;0.0;1.7;;;;;03.03.2011
2001063;2011;3;4;12.55;10.5;-1.8;0.0;1.6;;;;;04.03.2011
2001064;2011;3;5;14.32;12.6;-1.2;0.0;1.9;;;;;05.03.2011
2001065;2011;3;6;14.93;10.4;-0.5;0.0;2.1;;;;;06.03.2011
2001066;2011;3;7;15.16;10.6;-1.6;0.0;1.8;;;;;07.03.2011
2001067;2011;3;8;14.64;14.1;-3.0;0.0;1.7;;;;;08.03.2011
2001068;2011;3;9;13.78;13.6;1.0;0.0;2.4;;;;;09.03.2011
2001069;2011;3;10;8.92;13.0;2.6;0.0;2.0;;;;;10.03.2011
2001070;2011;3;11;11.27;14.1;3.0;0.0;1.9;;;;;11.03.2011
2001071;2011;3;12;6.18;12.3;-1.5;12.9;0.7;;;;;12.03.2011
2001072;2011;3;13;3.68;10.0;6.7;10.1;0.5;;;;;13.03.2011
2001073;2011;3;14;12.86;16.9;7.3;0.0;1.8;;;;;14.03.2011
2001074;2011;3;15;12.73;18.1;6.9;0.0;2.6;;;;;15.03.2011
2001075;2011;3;16;7.68;14.0;7.9;1.8;2.0;;;;;16.03.2011
2001076;2011;3;17;2.85;10.1;7.0;0.0;1.1;;;;;17.03.2011
2001077;2011;3;18;8.41;11.7;6.3;3.4;1.7;;;;;18.03.2011
2001078;2011;3;19;5.35;9.4;7.5;0.2;1.5;;;;;19.03.2011
2001079;2011;3;20;17.96;13.2;1.1;0.0;3.1;;;;;20.03.2011
2001080;2011;3;21;18.77;14.4;0.5;0.0;3.2;;;;;21.03.2011
2001081;2011;3;22;18.07;15.0;1.9;0.0;2.8;;;;;22.03.2011
2001082;2011;3;23;18.80;18.2;4.1;0.0;3.3;;;;;23.03.2011
2001083;2011;3;24;18.36;19.3;4.4;0.0;2.7;;;;;24.03.2011
2001084;2011;3;25;19.46;20.0;1.1;0.0;3.1;;;;;25.03.2011
2001085;2011;3;26;14.40;18.8;3.1;5.8;2.7;;;;;26.03.2011
2001086;2011;3;27;13.34;16.7;7.4;0.0;2.0;;;;;27.03.2011
2001087;2011;3;28;11.08;17.0;8.6;0.0;2.0;;;;;28.03.2011
2001088;2011;3;29;15.32;17.8;3.5;1.4;2.2;;;;;29.03.2011
2001089;2011;3;30;11.09;15.4;9.0;0.6;2.4;;;;;30.03.2011
2001090;2011;3;31;4.15;15.7;10.0;3.4;1.0;;;;;31.03.2011
2001091;2011;4;1;17.07;20.2;11.5;0.0;2.8;;;;;01.04.2011
2001092;2011;4;2;20.39;24.1;5.4;0.2;3.3;;;;;02.04.2011
2001093;2011;4;3;11.36;19.8;10.8;6.0;2.6;;;;;03.04.2011
